Paper title,DOI,Authors,Link,Year,PDF path,Open access,Read,Priority,Topic,Relevance,Cited in paper,Notes path
Time series smoothing by penalized least squares,10.1016/j.spl.2007.03.006,Victor M. Guerrero,https://doi.org/10.1016/j.spl.2007.03.006,,,,,,,,,
Estimating Trends with Percentage of Smoothness Chosen by the User,10.1111/j.1751-5823.2008.00047.x,Victor M. Guerrero,https://doi.org/10.1111/j.1751-5823.2008.00047.x,,,,,,,,,
Trend estimation of financial time series,10.1002/asmb.763,Victor M. Guerrero; Adriana Galicia-Vazquez,https://doi.org/10.1002/asmb.763,,,,,,,,,
Trend smoothness achieved by penalized least squares with the smoothing parameter chosen by optimality criteria,10.1080/03610918.2015.1005236,Daniela Cortés-Toto; Víctor M. Guerrero; Hortensia J. Reyes,https://doi.org/10.1080/03610918.2015.1005236,,,,,,,,,
Effect of autocorrelation when estimating the trend of a time series via penalized least squares with controlled smoothness,10.1007/s10260-017-0389-8,Víctor M. Guerrero; Daniela Cortés-Toto; Hortensia J. Reyes Cervantes,https://doi.org/10.1007/s10260-017-0389-8,,,,,,,,,
A Data-Driven Method to Determine the Smoothing Parameter in the Hodrick-Prescott Filter,10.1007/s10614-026-11378-9,Reiner Franke; Jiri Kukacka; Stephen Sacht,https://doi.org/10.1007/s10614-026-11378-9,,,,,,,,,
Forecasting Remittances to Mexico with a Multi-State Markov-Switching Model Applied to the Trend with Controlled Smoothness,,Alejandro Islas-Camargo; Víctor M. Guerrero; Eliud Silva-Urrutía,https://ideas.repec.org/a/rjr/romjef/vy2019i1p38-56.html,,,,,,,,,
Exchange rate predictability: Multi-State Markov-Switching model and trend with controlled smoothness,10.1590/1980-53575516acjg,Alejandro Islas Camargo; Juan A. Zumaya Galván,https://doi.org/10.1590/1980-53575516acjg,,,,,,,,,
On Adjusting the Hodrick-Prescott Filter for the Frequency of Observations,10.1162/003465302317411604,Morten O. Ravn; Harald Uhlig,https://doi.org/10.1162/003465302317411604,,,,,,,,,
On suboptimality of the Hodrick–Prescott filter at time series endpoints,10.1016/j.jmacro.2003.09.003,Emi Mise; Tae-Hwan Kim; Paul Newbold,https://doi.org/10.1016/j.jmacro.2003.09.003,,,,,,,,,
