direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high,0,1,-60,2,72,0.9794529369049167,0.0,2,72,0.9794529369049167,0.0,1,48,0.501305613963623,0.0,0.4781473229412937,0.0,0.0,0.0
low_to_high,0,1,-57,2,72,0.9793915569908102,0.0,2,72,0.9793915569908102,0.0,1,48,0.4224742185460116,0.0,0.5569173384447985,0.0,0.0,0.0
low_to_high,0,1,-54,2,72,0.9797684142392924,0.0,2,72,0.9797684142392924,0.0,2,24,0.8647227831015429,0.0,0.11504563113774946,1.0,0.0,0.0
low_to_high,0,1,-51,2,72,0.9800911089685665,0.0,2,72,0.9800911089685665,0.0,1,48,0.26004465787720277,0.0,0.7200464510913638,0.0,0.0,0.0
low_to_high,0,1,-48,2,72,0.9801926788815728,0.0,2,72,0.9801926788815728,0.0,2,24,0.873861589728062,0.0,0.10633108915351075,1.0,0.0,0.0
low_to_high,0,1,-45,2,72,0.9806028179219203,0.0,2,72,0.9806028179219203,0.0,2,24,0.8722768917306511,0.0,0.10832592619126913,1.0,0.0,0.0
low_to_high,0,1,-42,2,72,0.9806897956231299,0.0,2,72,0.9806897956231299,0.0,2,24,0.8729995886456414,0.0,0.10769020697748843,1.0,0.0,0.0
low_to_high,0,1,-39,2,72,0.9810421316139571,0.0,2,72,0.9810421316139571,0.0,2,24,0.8746309618040655,0.0,0.10641116980989163,1.0,0.0,0.0
low_to_high,0,1,-36,2,72,0.9812119368639628,0.0,2,72,0.9812119368639628,0.0,2,24,0.8755853808683234,0.0,0.10562655599563942,1.0,0.0,0.0
low_to_high,0,1,-33,2,72,0.9809125847464744,0.0,2,72,0.9809125847464744,0.0,2,24,0.8646648617154142,0.0,0.11624772303106012,1.0,0.0,0.0
low_to_high,0,1,-30,2,72,0.9817658136562474,0.0,2,72,0.9817658136562474,0.0,2,24,0.880880022997897,0.0,0.10088579065835035,1.0,0.0,0.0
low_to_high,0,1,-27,2,72,0.9819542014748506,0.0,2,72,0.9819542014748506,0.0,2,24,0.8698946399053626,0.0,0.11205956156948793,1.0,0.0,0.0
low_to_high,0,1,-24,2,72,0.9818464593895097,0.0,2,72,0.9818464593895097,0.0,2,24,0.874693024069647,0.0,0.10715343531986266,1.0,0.0,0.0
low_to_high,0,1,-21,2,72,0.9819282816281216,0.0,2,72,0.9819282816281216,0.0,2,24,0.8724032731458579,0.0,0.10952500848226376,1.0,0.0,0.0
low_to_high,0,1,-18,2,72,0.981833847383425,0.0,2,72,0.981833847383425,0.0,1,48,0.30348623823264226,0.0,0.6783476091507827,0.0,0.0,0.0
low_to_high,0,1,-15,2,72,0.9804261903306718,0.0,2,72,0.9804261903306718,0.0,1,48,0.23732760288860727,0.0,0.7430985874420646,0.0,0.0,0.0
low_to_high,0,1,-12,2,72,0.9789361721468297,0.0,2,72,0.9789361721468297,0.0,1,48,0.04305365726919638,0.0,0.9358825148776333,0.0,0.0,0.0
low_to_high,0,1,-9,2,72,0.9814599798478484,0.0,2,72,0.9814599798478484,0.0,1,48,0.09775770930470239,0.0,0.883702270543146,0.0,0.0,0.0
low_to_high,0,1,-6,2,48,0.9635584964856237,0.0,2,48,0.9635584964856237,0.0,1,48,0.03915394724365526,0.0,0.9244045492419685,0.0,1.0,0.0
low_to_high,0,1,-3,2,72,0.9784610321100211,0.0,2,72,0.9784610321100211,0.0,1,48,3.045995807355589e-08,0.0,0.978461001650063,0.0,0.0,0.0
low_to_high,0,1,0,2,72,0.9768070702276446,0.0,2,72,0.9768070702276446,0.0,1,48,3.045995807355589e-08,0.0,0.9768070397676865,0.0,0.0,0.0
low_to_high,0,1,3,1,48,0.6939999390646806,0.0625,2,72,0.98309340535268,0.041666666666666664,1,48,0.1376092648053716,0.0625,0.556390674259309,1.0,1.0,1.0
low_to_high,0,1,6,2,48,0.9749831121316408,0.125,2,72,0.9842343257272322,0.08333333333333333,1,48,0.15633998205954075,0.125,0.8186431300721,0.0,1.0,0.0
low_to_high,0,1,9,2,48,0.9771746150095016,0.1875,2,72,0.9854066032142973,0.125,1,48,0.17407741222091305,0.1875,0.8030972027885885,0.0,1.0,0.0
low_to_high,0,1,12,2,72,0.982695982734875,0.16666666666666666,2,72,0.9906679914900001,0.16666666666666666,1,48,0.14399600396068543,0.25,0.8386999787741896,0.0,0.0,0.0
low_to_high,0,1,15,2,72,0.9876209874841703,0.20833333333333334,2,72,0.9940358055810126,0.20833333333333334,1,48,0.1505258159314457,0.3125,0.8370951715527246,0.0,0.0,0.0
low_to_high,0,1,18,1,48,0.6024066715795328,0.375,2,72,0.9933779876416721,0.25,1,48,0.07120699189361226,0.375,0.5311996796859205,1.0,1.0,1.0
low_to_high,0,1,21,1,48,0.5784788003908587,0.4375,2,72,0.9977184024798728,0.2916666666666667,1,48,0.00016116400506643278,0.4375,0.5783176363857924,1.0,1.0,1.0
low_to_high,0,1,24,1,48,0.5729112105561893,0.5,2,72,1.00000035924574,0.3333333333333333,1,48,3.045995807355589e-08,0.5,0.5729111800962312,1.0,1.0,1.0
low_to_high,0,1,27,2,48,0.975273928205112,0.5625,2,72,0.9919488224519537,0.375,1,48,3.045995807355589e-08,0.5625,0.9752738977451539,0.0,1.0,0.0
low_to_high,0,1,30,2,48,0.9766424194304155,0.625,2,72,0.9908402869468363,0.4166666666666667,1,48,3.045995807355589e-08,0.625,0.9766423889704574,0.0,1.0,0.0
low_to_high,0,1,33,2,48,0.9773379030745313,0.6875,2,72,0.9895069924559333,0.4583333333333333,1,48,3.045995807355589e-08,0.6875,0.9773378726145732,0.0,1.0,0.0
low_to_high,0,1,36,2,48,0.9747973088034463,0.75,2,24,0.9999999946529602,1.0,1,48,0.13613365182557013,0.75,0.8386636569778761,0.0,1.0,0.0
low_to_high,0,1,39,2,48,0.9717374123603282,0.8125,2,24,0.9999998613851715,1.0,1,48,0.15933149563643814,0.8125,0.8124059167238901,0.0,1.0,0.0
low_to_high,0,1,42,1,48,0.5943507603632849,0.875,3,48,0.9999939036535136,0.875,1,48,0.33477082609272724,0.875,0.2595799342705577,1.0,1.0,1.0
low_to_high,0,1,45,1,48,0.49890979180859907,0.9375,3,48,0.9999939036535136,0.9375,1,48,0.28722763666194834,0.9375,0.21168215514665073,1.0,1.0,1.0
low_to_high,0,1,48,1,48,0.4969873028505172,1.0,2,24,0.9999998186218539,1.0,1,48,0.29169035431461465,1.0,0.20529694853590252,1.0,1.0,1.0
low_to_high,0,1,51,1,24,0.36330404031818925,1.0,3,48,0.9999939036535136,1.0,1,48,0.1311256562559597,1.0,0.23217838406222954,1.0,0.0,0.0
low_to_high,0,1,54,1,24,0.33372885355657456,1.0,3,48,0.9999939036535136,1.0,1,48,0.0747013091236343,1.0,0.25902754443294024,1.0,0.0,0.0
low_to_high,0,1,57,1,48,0.3624756162180567,1.0,2,24,0.99999980025172,1.0,1,48,0.2782273358839114,1.0,0.08424828033414528,1.0,1.0,1.0
low_to_high,0,1,60,1,24,0.33254682135311536,1.0,2,24,0.9999996303660234,1.0,1,48,0.11527392340718387,1.0,0.2172728979459315,1.0,0.0,0.0
low_to_high,0,1,63,1,24,0.28986122724902186,1.0,3,48,0.995241708562795,1.0,1,24,3.0459958149967166e-08,1.0,0.2898611967890637,1.0,1.0,1.0
low_to_high,0,1,66,1,24,0.2932589577795826,1.0,2,24,0.9999994238874752,1.0,1,24,3.0459958149967166e-08,1.0,0.29325892731962444,1.0,1.0,1.0
low_to_high,0,1,69,1,24,0.31322535463933765,1.0,2,24,0.9999992716024896,1.0,1,24,3.0459958149967166e-08,1.0,0.3132253241793795,1.0,1.0,1.0
