transition,pre_phi,post_phi,horizon,relative_origin,n_seeds,mean_order,modal_order,mean_window,modal_window,mean_smoothness,median_smoothness,mean_selected_window_post_fraction,frac_lower_boundary,frac_upper_boundary,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
high_to_low,0.8,0.0,1,-60,30,1.5,1,45.6,48,0.4439436464645576,0.4778396716030454,0.0,0.23333333333333334,0.03333333333333333,0.1495220520851491,0.1663339778574988,0.9481174450511226
high_to_low,0.8,0.0,1,-57,30,1.5333333333333334,1,41.6,48,0.47014831216703185,0.4827379744866587,0.0,0.13333333333333333,0.03333333333333333,0.11321879376968644,0.09573178961629779,1.0875047760548413
high_to_low,0.8,0.0,1,-54,30,1.5,1,43.2,48,0.46147061774349335,0.48789388898197283,0.0,0.2,0.03333333333333333,0.0827000165155184,0.05843575791302145,1.189634245457852
high_to_low,0.8,0.0,1,-51,30,1.4666666666666666,1,40.0,48,0.45206241261038305,0.46388556320763996,0.0,0.16666666666666666,0.03333333333333333,0.10142829206092327,0.08561234985320994,1.0884571773665896
high_to_low,0.8,0.0,1,-48,30,1.5,1,41.6,24,0.47188048683949296,0.48208528250299,0.0,0.1,0.03333333333333333,0.1391101824553236,0.13059535384211926,1.0320853106140078
high_to_low,0.8,0.0,1,-45,30,1.4333333333333333,1,44.0,48,0.42528773827241284,0.3724006108596587,0.0,0.2,0.03333333333333333,0.08418118625541555,0.07654431852924201,1.0486994500362463
high_to_low,0.8,0.0,1,-42,30,1.4333333333333333,1,43.2,48,0.4285938928739662,0.3626046731400777,0.0,0.16666666666666666,0.03333333333333333,0.11367752313034186,0.0787450001865524,1.201505621279397
high_to_low,0.8,0.0,1,-39,30,1.4,1,42.4,48,0.41771672103099267,0.36369726716375217,0.0,0.16666666666666666,0.0,0.09277117990166886,0.08458950708971234,1.047244993746496
high_to_low,0.8,0.0,1,-36,30,1.4,1,40.8,24,0.41393689905572967,0.333688817401403,0.0,0.16666666666666666,0.0,0.2005248772931916,0.1804110485822224,1.0542717374729353
high_to_low,0.8,0.0,1,-33,30,1.3,1,42.4,24,0.3523219060675008,0.2751003787925422,0.0,0.23333333333333334,0.0,0.185664756335108,0.12741677985203348,1.2071227179974133
high_to_low,0.8,0.0,1,-30,30,1.2666666666666666,1,45.6,24,0.3248929371099874,0.23037839128186005,0.0,0.26666666666666666,0.0,0.08712469838221827,0.0679743888645876,1.1321344033925451
high_to_low,0.8,0.0,1,-27,30,1.2,1,44.8,48,0.30039238973097504,0.1827045496640773,0.0,0.26666666666666666,0.0,0.1175180597382611,0.11946326213018059,0.9918251609440101
high_to_low,0.8,0.0,1,-24,30,1.2333333333333334,1,43.2,24,0.3079164647062253,0.20773801540002176,0.0,0.26666666666666666,0.0,0.15116732503244454,0.13421763027192563,1.0612658285550465
high_to_low,0.8,0.0,1,-21,30,1.2333333333333334,1,48.0,48,0.3104730988466053,0.21032314103041344,0.0,0.26666666666666666,0.0,0.11010873449292365,0.12833301673356043,0.9262787137694667
high_to_low,0.8,0.0,1,-18,30,1.2333333333333334,1,43.2,24,0.30899201984890345,0.23210801255215163,0.0,0.2,0.0,0.12156620626285672,0.1505328496258938,0.8986504381561538
high_to_low,0.8,0.0,1,-15,30,1.2,1,44.0,48,0.3051933995538819,0.2323637598419812,0.0,0.3,0.0,0.13279134868032158,0.13334316532135393,0.9979286950236357
high_to_low,0.8,0.0,1,-12,30,1.2333333333333334,1,43.2,24,0.3061210994023596,0.23143968225179,0.0,0.36666666666666664,0.0,0.08719009887290917,0.08821063196874572,0.994198533787056
high_to_low,0.8,0.0,1,-9,30,1.2,1,44.0,48,0.2872923191961698,0.2064831220585159,0.0,0.36666666666666664,0.0,0.09347985739551498,0.10465202941215461,0.9451161694023357
high_to_low,0.8,0.0,1,-6,30,1.3333333333333333,1,44.8,48,0.3488746826826251,0.3299737919471182,0.0,0.3333333333333333,0.0,0.12917040136775906,0.13303304695279858,0.9853754444237617
high_to_low,0.8,0.0,1,-3,30,1.3333333333333333,1,39.2,24,0.38494439143285475,0.38686168500095275,0.0,0.36666666666666664,0.0,0.13956806536509392,0.15572124796065212,0.9467146365125299
