transition,horizon,relative_origin,selected_order,selected_window,count,fraction
high_to_low,1,-60,1,24,4,0.13333333333333333
high_to_low,1,-60,1,48,9,0.3
high_to_low,1,-60,1,72,4,0.13333333333333333
high_to_low,1,-60,2,24,5,0.16666666666666666
high_to_low,1,-60,2,48,3,0.1
high_to_low,1,-60,2,72,3,0.1
high_to_low,1,-60,3,24,1,0.03333333333333333
high_to_low,1,-60,3,48,1,0.03333333333333333
high_to_low,1,-57,1,24,5,0.16666666666666666
high_to_low,1,-57,1,48,9,0.3
high_to_low,1,-57,1,72,2,0.06666666666666667
high_to_low,1,-57,2,24,6,0.2
high_to_low,1,-57,2,48,4,0.13333333333333333
high_to_low,1,-57,2,72,2,0.06666666666666667
high_to_low,1,-57,3,24,1,0.03333333333333333
high_to_low,1,-57,3,48,1,0.03333333333333333
high_to_low,1,-54,1,24,3,0.1
high_to_low,1,-54,1,48,12,0.4
high_to_low,1,-54,1,72,2,0.06666666666666667
high_to_low,1,-54,2,24,6,0.2
high_to_low,1,-54,2,48,3,0.1
high_to_low,1,-54,2,72,2,0.06666666666666667
high_to_low,1,-54,3,24,1,0.03333333333333333
high_to_low,1,-54,3,48,1,0.03333333333333333
high_to_low,1,-51,1,24,4,0.13333333333333333
high_to_low,1,-51,1,48,12,0.4
high_to_low,1,-51,1,72,1,0.03333333333333333
high_to_low,1,-51,2,24,8,0.26666666666666666
high_to_low,1,-51,2,48,3,0.1
high_to_low,1,-51,2,72,1,0.03333333333333333
high_to_low,1,-51,3,48,1,0.03333333333333333
high_to_low,1,-48,1,24,6,0.2
high_to_low,1,-48,1,48,6,0.2
high_to_low,1,-48,1,72,4,0.13333333333333333
high_to_low,1,-48,2,24,8,0.26666666666666666
high_to_low,1,-48,2,48,3,0.1
high_to_low,1,-48,2,72,2,0.06666666666666667
high_to_low,1,-48,3,48,1,0.03333333333333333
high_to_low,1,-45,1,24,3,0.1
high_to_low,1,-45,1,48,11,0.36666666666666664
high_to_low,1,-45,1,72,4,0.13333333333333333
high_to_low,1,-45,2,24,7,0.23333333333333334
high_to_low,1,-45,2,48,3,0.1
high_to_low,1,-45,2,72,1,0.03333333333333333
high_to_low,1,-45,3,48,1,0.03333333333333333
high_to_low,1,-42,1,24,4,0.13333333333333333
high_to_low,1,-42,1,48,12,0.4
high_to_low,1,-42,1,72,2,0.06666666666666667
high_to_low,1,-42,2,24,6,0.2
high_to_low,1,-42,2,48,3,0.1
high_to_low,1,-42,2,72,2,0.06666666666666667
high_to_low,1,-42,3,48,1,0.03333333333333333
high_to_low,1,-39,1,24,5,0.16666666666666666
high_to_low,1,-39,1,48,10,0.3333333333333333
high_to_low,1,-39,1,72,4,0.13333333333333333
high_to_low,1,-39,2,24,6,0.2
high_to_low,1,-39,2,48,3,0.1
high_to_low,1,-39,2,72,1,0.03333333333333333
high_to_low,1,-39,3,24,1,0.03333333333333333
high_to_low,1,-36,1,24,5,0.16666666666666666
high_to_low,1,-36,1,48,10,0.3333333333333333
high_to_low,1,-36,1,72,4,0.13333333333333333
high_to_low,1,-36,2,24,7,0.23333333333333334
high_to_low,1,-36,2,48,3,0.1
high_to_low,1,-36,3,24,1,0.03333333333333333
high_to_low,1,-33,1,24,7,0.23333333333333334
high_to_low,1,-33,1,48,8,0.26666666666666666
high_to_low,1,-33,1,72,6,0.2
high_to_low,1,-33,2,24,6,0.2
high_to_low,1,-33,2,48,3,0.1
high_to_low,1,-30,1,24,5,0.16666666666666666
high_to_low,1,-30,1,48,10,0.3333333333333333
high_to_low,1,-30,1,72,7,0.23333333333333334
high_to_low,1,-30,2,24,6,0.2
high_to_low,1,-30,2,48,1,0.03333333333333333
high_to_low,1,-30,2,72,1,0.03333333333333333
high_to_low,1,-27,1,24,6,0.2
high_to_low,1,-27,1,48,12,0.4
high_to_low,1,-27,1,72,6,0.2
high_to_low,1,-27,2,24,4,0.13333333333333333
high_to_low,1,-27,2,48,2,0.06666666666666667
high_to_low,1,-24,1,24,9,0.3
high_to_low,1,-24,1,48,8,0.26666666666666666
high_to_low,1,-24,1,72,6,0.2
