seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,1,180,120,-60,0,72,0,0.0,pre,2,72,11929.882708582712,0.9794529369049167,0.356095436672915,stationary_minimum,1,0.024989385753552088,0.21538121508513486,0.34062292909346636
0,stable_low,0.0,0.0,1,180,123,-57,0,72,0,0.0,pre,2,72,11846.064991449874,0.9793915569908102,0.3366180128963853,stationary_minimum,1,0.32739906010453224,0.00025682031683159107,35.70458794975951
0,stable_low,0.0,0.0,1,180,126,-54,0,72,0,0.0,pre,2,72,12372.594341665617,0.9797684142392924,0.33608064216595196,stationary_minimum,1,0.09252560252316175,1.2485047244686418,0.2722299264903884
0,stable_low,0.0,0.0,1,180,129,-51,0,72,0,0.0,pre,2,72,12846.913592332472,0.9800911089685665,0.3232432247041257,stationary_minimum,1,0.2628759225623715,0.5051542544603466,0.7213788371545473
0,stable_low,0.0,0.0,1,180,132,-48,0,72,0,0.0,pre,2,72,13000.898525251187,0.9801926788815728,0.3202229290939463,stationary_minimum,1,0.4490155209616257,1.8171877393163303,0.4970851369093397
0,stable_low,0.0,0.0,1,180,135,-45,0,72,0,0.0,pre,2,72,13646.671519455296,0.9806028179219203,0.3263241443065508,stationary_minimum,1,0.10097326939196834,0.06591695955108957,1.2376693202583477
0,stable_low,0.0,0.0,1,180,138,-42,0,72,0,0.0,pre,2,72,13788.736997114638,0.9806897956231299,0.3160794884199443,stationary_minimum,1,0.3476209548474293,2.4246996901247355,0.37863782398766105
0,stable_low,0.0,0.0,1,180,141,-39,0,72,0,0.0,pre,2,72,14383.485314517204,0.9810421316139571,0.3174267397067219,stationary_minimum,1,0.0989469680893886,0.5872066213762077,0.4104930169415153
0,stable_low,0.0,0.0,1,180,144,-36,0,72,0,0.0,pre,2,72,14681.557012014344,0.9812119368639628,0.3083177085315059,stationary_minimum,1,0.7730390578278202,0.5581900701485168,1.1768189833519198
0,stable_low,0.0,0.0,1,180,147,-33,0,72,0,0.0,pre,2,72,14161.151062127892,0.9809125847464744,0.3268903523866718,stationary_minimum,1,0.3161822347877044,0.6381287865225921,0.7039058331515743
0,stable_low,0.0,0.0,1,180,150,-30,0,72,0,0.0,pre,2,72,15708.976020082255,0.9817658136562474,0.32633191467650907,stationary_minimum,1,0.05520672141428745,0.030916748687504027,1.3362849287798801
0,stable_low,0.0,0.0,1,180,153,-27,0,72,0,0.0,pre,2,72,16078.759339744638,0.9819542014748506,0.3162826009459214,stationary_minimum,1,0.04747465431906781,0.09800119306486542,0.6960095909161329
0,stable_low,0.0,0.0,1,180,156,-24,0,72,0,0.0,pre,2,72,15865.961737939153,0.9818464593895097,0.30667991738237993,stationary_minimum,1,0.38573673572627765,0.02413414383478715,3.997878139514281
0,stable_low,0.0,0.0,1,180,159,-21,0,72,0,0.0,pre,2,72,16027.242429950971,0.9819282816281216,0.3094046911689012,stationary_minimum,1,0.052352208659112665,0.3074601444656007,0.4126416780067368
0,stable_low,0.0,0.0,1,180,162,-18,0,72,0,0.0,pre,2,72,15841.282436136687,0.981833847383425,0.30083459561361864,stationary_minimum,1,1.4191756793844315,0.07194964420778567,4.441235009751879
0,stable_low,0.0,0.0,1,180,165,-15,0,72,0,0.0,pre,2,72,13363.761538774119,0.9804261903306718,0.347690345890458,stationary_minimum,1,0.14414721980716258,0.0005473815885314593,16.22774005989463
0,stable_low,0.0,0.0,1,180,168,-12,0,72,0,0.0,pre,2,72,11246.693038898595,0.9789361721468297,0.34701916397792654,stationary_minimum,1,0.06385963453431139,0.14734248062662184,0.658338457753002
0,stable_low,0.0,0.0,1,180,171,-9,0,72,0,0.0,pre,2,72,15130.963945157944,0.9814599798478484,0.3397112365098374,stationary_minimum,2,1.8774650418076018,0.9921399478693713,1.375623104052204
0,stable_low,0.0,0.0,1,180,174,-6,0,48,0,0.0,pre,2,48,1630.1321524205503,0.9635584964856237,0.37976120241135636,stationary_minimum,1,1.4358752909389356,0.904604717622336,1.2598792895815436
0,stable_low,0.0,0.0,1,180,177,-3,0,72,0,0.0,pre,2,72,10661.263330447275,0.9784610321100211,0.4188580442423063,stationary_minimum,2,0.02599939695047049,0.6554323209313839,0.1991671507779583
0,stable_low,0.0,0.0,1,180,180,0,0,72,0,0.0,post,2,72,8899.489545260338,0.9768070702276446,0.41837459665639287,stationary_minimum,2,0.35497469543495197,5.096872740320721,0.2639045041454039
0,stable_low,0.0,0.0,1,180,183,3,3,69,3,0.041666666666666664,post,2,72,18561.914507341105,0.98309340535268,0.4155045607940147,stationary_minimum,2,0.0428478907023093,1.1137705977711096,0.19614030637417737
0,stable_low,0.0,0.0,1,180,186,6,6,66,6,0.08333333333333333,post,2,72,21546.11025195795,0.9842343257272322,0.41369770568521963,stationary_minimum,2,0.28956340634360533,0.02776598434023999,3.229351371518502
0,stable_low,0.0,0.0,1,180,189,9,9,63,9,0.125,post,2,72,25261.046076956005,0.9854066032142973,0.41639644498452183,stationary_minimum,2,0.6653333624782967,0.8678601311570369,0.8755778809681444
