selector_max_inner_origins,direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress,mean_inner_origin_post_fraction,mean_selected_window_post_fraction
5,high_to_low,1,-60,0.7913387351644955,0.7913387351644955,0.9994532046825092,0.2081144695180137,1.0,1.0,2.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,0.2081144695180137,0.0,0.0,0.0
5,high_to_low,1,-57,3.0459958161388936e-08,3.0459958161388936e-08,0.8093349425936662,0.8093349121337081,1.0,1.0,1.0,72.0,72.0,48.0,1.0,0.0,0.0,0.0,0.8093349121337081,0.0,0.0,0.0
5,high_to_low,1,-54,9.13798623055787e-08,9.13798623055787e-08,3.0459958161388936e-08,6.091990414418976e-08,2.0,2.0,1.0,72.0,72.0,72.0,0.0,1.0,0.0,0.0,-6.091990414418976e-08,-0.0,0.0,0.0
5,high_to_low,1,-51,3.0459958161388936e-08,3.0459958161388936e-08,1.00000035924574,1.000000328785782,1.0,1.0,2.0,72.0,72.0,72.0,0.0,1.0,0.0,0.0,1.000000328785782,0.0,0.0,0.0
5,high_to_low,1,-48,0.8293550160222383,0.8293550160222383,0.9999990215052298,0.17064400548299152,2.0,2.0,2.0,72.0,72.0,48.0,1.0,0.0,0.0,0.0,0.17064400548299152,0.0,0.0,0.0
5,high_to_low,1,-45,0.999996697296921,0.999996697296921,0.9999997922011691,3.094904248102104e-06,3.0,3.0,2.0,72.0,72.0,48.0,0.0,0.0,0.0,0.0,3.094904248102104e-06,0.0,0.0,0.0
5,high_to_low,1,-42,0.8640935901604121,0.8640935901604121,0.9999997845354986,0.13590619437508655,2.0,2.0,2.0,24.0,24.0,48.0,1.0,0.0,0.0,0.0,0.13590619437508655,0.0,0.0,0.0
5,high_to_low,1,-39,0.8871106808721967,0.8871106808721967,0.9999986914321985,0.11288801056000186,2.0,2.0,2.0,48.0,48.0,72.0,1.0,0.0,0.0,0.0,0.11288801056000186,0.0,0.0,0.0
5,high_to_low,1,-36,0.9913537986396068,0.9913537986396068,0.9999973225556567,0.008643523916049833,2.0,2.0,2.0,48.0,48.0,72.0,1.0,0.0,0.0,0.0,0.008643523916049833,0.0,0.0,0.0
5,high_to_low,1,-33,0.8786062715757371,0.8786062715757371,0.9999969638881969,0.1213906923124598,3.0,3.0,3.0,48.0,48.0,48.0,1.0,1.0,1.0,0.0,0.1213906923124598,0.0,0.0,0.0
