selector_max_inner_origins,transition,horizon,period,n_blocks,mean_selected_order,mean_selected_window,mean_selected_smoothness,mean_inner_origin_post_fraction,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
5,high_to_low,1,early,12,2.5833333333333335,48.0,0.9332412483966029,0.75,0.7802775494605411,0.5549310418892017,1.1857825257477619
5,high_to_low,1,late,16,2.3125,51.0,0.8374320452129492,1.0,0.5783526914546323,0.5494295729096521,1.0259834723253527
5,high_to_low,1,mid,12,1.75,40.0,0.8560302098668102,1.0,0.6839807524845658,0.7206588050383288,0.9742201136185272
5,high_to_low,1,pre,20,2.35,48.0,0.6747540869817477,0.0,0.2476051738312536,0.1410592132379616,1.3248878854803934
5,low_to_high,1,early,12,1.5833333333333333,50.0,0.6877628048767729,0.75,0.1289621473642336,0.12425092970207863,1.0187820969430754
5,low_to_high,1,late,16,2.375,36.0,0.7662481645461258,1.0,0.21319606534512997,0.12315920734849313,1.3156978047738117
5,low_to_high,1,mid,12,1.5833333333333333,46.0,0.5991634415511297,1.0,0.26677628824915,0.17110967970256688,1.2486373558680928
5,low_to_high,1,pre,20,1.9,60.0,0.7847372151503091,0.0,0.5133653412839414,0.5646577802134607,0.9534998173713625
5,stable_high,1,early,12,1.9166666666666667,56.0,0.784087953163834,0.75,0.189947130276526,0.10960577134077489,1.316435717191284
5,stable_high,1,late,16,2.375,36.0,0.7662482857564052,1.0,0.21317608862595652,0.12315920851958424,1.3156361558678134
5,stable_high,1,mid,12,1.75,50.0,0.7654713295493267,1.0,0.4049387818878123,0.1711151433646676,1.5383333782245014
5,stable_high,1,pre,20,2.35,48.0,0.6747540869817477,0.0,0.2476051738312536,0.1410592132379616,1.3248878854803934
5,stable_low,1,early,12,2.0833333333333335,62.0,0.9279723380222263,0.75,0.6086715164073171,0.8017469271107845,0.8713102787505045
5,stable_low,1,late,16,2.3125,51.0,0.8374227607764099,1.0,0.5783626488933785,0.5494295729096521,1.0259923044132455
5,stable_low,1,mid,12,1.4166666666666667,40.0,0.8142231444877105,1.0,0.755898773005446,0.7206588050383288,1.0241580231714806
5,stable_low,1,pre,20,1.9,60.0,0.7847372151503091,0.0,0.5133653412839414,0.5646577802134607,0.9534998173713625
10,high_to_low,1,early,12,2.0,44.0,0.9029625513000684,0.5416666666666666,0.7770766602501938,0.5549310418892017,1.1833478413992644
10,high_to_low,1,late,16,1.875,54.0,0.8155266413069973,1.0,0.43739978055814094,0.5494295729096521,0.892243236730474
10,high_to_low,1,mid,12,2.1666666666666665,46.0,0.968249661976288,1.0,0.5124735791524758,0.7206588050383288,0.8432782351166493
10,high_to_low,1,pre,20,1.95,46.8,0.5800382173888747,0.0,0.19481796572159507,0.1410592132379616,1.1752053867956218
10,low_to_high,1,early,12,1.0833333333333333,52.0,0.3822292108650747,0.5416666666666666,0.1231434358426954,0.12425092970207863,0.9955333420988507
10,low_to_high,1,late,16,1.375,52.5,0.46716176026980794,1.0,0.12785880768209956,0.12315920734849313,1.0189007514540653
10,low_to_high,1,mid,12,1.75,68.0,0.8138531591351837,1.0,0.3376330386742609,0.17110967970256688,1.4047051657472598
10,low_to_high,1,pre,20,2.3,58.8,0.9680533644067335,0.0,0.4394966455637571,0.5646577802134607,0.8822367084119258
10,stable_high,1,early,12,1.6666666666666667,52.0,0.544777188167964,0.5416666666666666,0.2286979959411307,0.10960577134077489,1.4444897621189166
10,stable_high,1,late,16,1.375,51.0,0.467316287742339,1.0,0.12786633803004274,0.12315920851958424,1.0189307506600418
10,stable_high,1,mid,12,1.8333333333333333,70.0,0.849308758049828,1.0,0.2764521126167871,0.1711151433646676,1.2710590694307033
10,stable_high,1,pre,20,1.95,46.8,0.5800382173888747,0.0,0.19481796572159507,0.1410592132379616,1.1752053867956218
10,stable_low,1,early,12,2.0833333333333335,62.0,0.9249661164550638,0.5416666666666666,0.61841656218392,0.8017469271107845,0.8782575745278951
10,stable_low,1,late,16,1.875,54.0,0.8155331858587501,1.0,0.4374152790479381,0.5494295729096521,0.8922590441231859
10,stable_low,1,mid,12,2.0,46.0,0.9620333012117087,1.0,0.5415485883835033,0.7206588050383288,0.8668697843919136
10,stable_low,1,pre,20,2.3,58.8,0.9680533644067335,0.0,0.4394966455637571,0.5646577802134607,0.8822367084119258
