transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low,1,all_post,1200,0.36302069089522965,0.46969700756833,0.508245941680459,0.8791374744280803,0.8451401413555168,0.9613287636331505,0.10667631667310036,0.5583333333333333,0.5958333333333333,0.4976904378970684
high_to_low,1,early,360,0.3997733911974276,0.46098816117360325,0.48998103679195193,0.9312409302412207,0.9032694167167817,0.9699631828712755,0.06121476997617566,0.3333333333333333,0.5333333333333333,0.33956182436209453
high_to_low,1,late,480,0.3245622784432174,0.48286660464620307,0.527178596660582,0.8198519548911318,0.7846394448583133,0.9570501603091324,0.15830432620298568,0.6729166666666667,0.61875,0.5796060437547583
high_to_low,1,mid,360,0.3775458738623815,0.46084639119255943,0.5012673065954687,0.9051212656304517,0.8678610031942164,0.9588339553482018,0.08330051733017801,0.6305555555555555,0.6277777777777778,0.546598243621789
high_to_low,3,all_post,1200,0.3593011450508999,0.48457327308025183,0.6342336276302775,0.8610920353975671,0.75267010729873,0.8740878748822957,0.125272128029352,0.5133333333333333,0.6,0.4308101481665394
high_to_low,3,early,360,0.40628202717642714,0.45165422382179626,0.5789390603185539,0.9484419774509327,0.8377170976966724,0.8832560321171691,0.045372196645369095,0.26666666666666666,0.5055555555555555,0.28623549918547503
high_to_low,3,late,480,0.32767884756547866,0.508156289133097,0.703478066115135,0.8030185011278184,0.6824941344364718,0.8499108469828861,0.18047744156761825,0.6291666666666667,0.6645833333333333,0.5028230373775205
high_to_low,3,mid,360,0.3544833262392676,0.4860483009349142,0.5972022769621913,0.8540006307070989,0.770437083668531,0.9021504855688706,0.13156497469564657,0.6055555555555555,0.6083333333333333,0.479367611532962
high_to_low,6,all_post,1170,0.3889292788249358,0.532599647365789,0.9742799602366188,0.8545448906945536,0.6318200947068089,0.7393644284658709,0.14367036854085322,0.4512820512820513,0.5675213675213675,0.21496725851215107
high_to_low,6,early,360,0.4184322150764323,0.43970099325103196,0.8080236672358314,0.9755147342545202,0.7196155112362747,0.7376777469037396,0.021268778174599698,0.2222222222222222,0.41388888888888886,0.17229372145642033
high_to_low,6,late,450,0.3627511828399602,0.6313212280409377,1.1585246163455638,0.7580174828924997,0.5595666020507162,0.7381974884213489,0.26857004520097744,0.5933333333333334,0.7155555555555555,0.2340527440928873
