direction,matched_control,horizon,period,n_pairs,transition_adaptive_rmse_vs_frozen,control_adaptive_rmse_vs_frozen,mean_excess_adaptive_mse_advantage
low_to_high,stable_low,1,all_post,1200,0.6790025100918021,0.8714864209960953,0.08288343560337691
low_to_high,stable_low,1,early,360,0.8930708373550125,0.9742008102589591,0.03648822985205742
low_to_high,stable_low,1,late,480,0.570908826279393,0.8008506501388661,0.09434286777804166
low_to_high,stable_low,1,mid,360,0.6444499276262609,0.8886348940209603,0.11399939845514342
low_to_high,stable_low,3,all_post,1200,0.8110125910622501,0.8720323135795225,0.029580900415202057
low_to_high,stable_low,3,early,360,0.9267007051002082,0.9645932383887275,0.017169132283375958
low_to_high,stable_low,3,late,480,0.745248732306089,0.8090620990192836,0.02678274292426251
low_to_high,stable_low,3,mid,360,0.8155167596343048,0.8887749173056859,0.045723545201614216
low_to_high,stable_low,6,all_post,1170,0.8853055795119605,0.8545853833757245,-0.026001959490896037
low_to_high,stable_low,6,early,360,1.002330430022124,0.953387138454419,-0.03736316869601074
low_to_high,stable_low,6,late,450,0.808445886036356,0.7768002051446175,-0.03660750694789355
low_to_high,stable_low,6,mid,360,0.8978807390151174,0.8853772539982114,-0.001383815964534449
low_to_high,stable_low,12,all_post,1110,0.792809311310117,0.745703388154334,-0.02423270842924264
low_to_high,stable_low,12,early,360,0.9229152705513896,0.8820382966491264,-0.0373569176891242
low_to_high,stable_low,12,late,390,0.7216022388442088,0.6610897666826583,-0.06091345949330321
low_to_high,stable_low,12,mid,360,0.775204955293063,0.7402539669907118,0.028628981150037865
high_to_low,stable_high,1,all_post,1200,0.8791374744280803,1.0242015828264237,0.11294551714071285
high_to_low,stable_high,1,early,360,0.9312409302412207,1.0102279674439074,0.06364300795902507
high_to_low,stable_high,1,late,480,0.8198519548911318,0.9883540717518803,0.15513649938282773
high_to_low,stable_high,1,mid,360,0.9051212656304517,1.0862803114293573,0.10599338333291405
high_to_low,stable_high,3,all_post,1200,0.8610920353975671,0.9500128740463581,0.09945345371906834
high_to_low,stable_high,3,early,360,0.9484419774509327,0.9942224865513203,0.042891938527318235
high_to_low,stable_high,3,late,480,0.8030185011278184,0.9435308959692887,0.14962916026877374
high_to_low,stable_high,3,mid,360,0.8540006307070989,0.9246900685434852,0.08911402684454463
high_to_low,stable_high,6,all_post,1170,0.8545448906945536,0.9190519000882865,0.07066704899013777
high_to_low,stable_high,6,early,360,0.9755147342545202,1.004334389311717,0.02434569843527065
high_to_low,stable_high,6,late,450,0.7580174828924997,0.833870826847602,0.10090770118119917
high_to_low,stable_high,6,mid,360,0.8837552639149356,0.9677860231676662,0.07918758430617814
high_to_low,stable_high,12,all_post,1110,0.8749184364139514,0.9096423739307816,0.03401764886746892
high_to_low,stable_high,12,early,360,1.000383348593876,1.0018419203598425,0.0017558610826990827
high_to_low,stable_high,12,late,390,0.7312536085576969,0.8120550320538952,0.09609116889422957
high_to_low,stable_high,12,mid,360,0.9461309304158481,0.9544059734885707,-0.0009668767100852873
