direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high,stable_low,0,1,0,early,1.1164822378723374,1.1164822378723374,0.0,0.35497469543495197,0.35497469543495197,0.0,0.0
low_to_high,stable_low,0,1,3,early,0.2350150041377727,0.0600247449028027,-0.17499025923497002,0.0428478907023093,0.03542989291087273,-0.007417997791436572,-0.16757226144353346
low_to_high,stable_low,0,1,6,early,0.01174571203322534,0.01921447629032687,0.007468764257101532,0.28956340634360533,0.2620135153591629,-0.027549890984442438,0.03501865524154397
low_to_high,stable_low,0,1,9,early,0.277701371748843,0.25423431026487414,-0.023467061483968876,0.6653333624782967,0.7454268956556203,0.0800935331773236,-0.10356059466129247
low_to_high,stable_low,0,1,12,early,0.06435956004901369,0.07600514135635907,0.011645581307345373,0.0031657630194137014,0.015954335084553278,0.012788572065139576,-0.0011429907577942024
low_to_high,stable_low,0,1,15,early,0.19904131167286046,0.2229699712656801,0.023928659592819645,0.23090493456003963,0.32991575696022185,0.09901082240018222,-0.07508216280736257
low_to_high,stable_low,0,1,18,early,0.09998065984941984,0.021660831020523644,-0.0783198288288962,0.06213033474592047,0.13239244792226174,0.07026211317634126,-0.14858194200523744
low_to_high,stable_low,0,1,21,early,0.32470334305011617,0.15436947030278245,-0.17033387274733372,0.23316217165796516,0.39491234040293965,0.1617501687449745,-0.3320840414923082
low_to_high,stable_low,0,1,24,early,0.07877166257851491,0.17557752737433535,0.09680586479582044,0.4201853138145171,0.21142663914221096,-0.20875867467230616,0.3055645394681266
low_to_high,stable_low,0,1,27,early,0.00014458283648313198,0.0013572446851189532,0.0012126618486358212,0.07322679257485232,0.039834384309948324,-0.03339240826490399,0.03460507011353981
low_to_high,stable_low,0,1,30,early,0.030200593853309407,0.023524268599045755,-0.006676325254263652,0.5084733167703236,0.4401796894454471,-0.06829362732487648,0.061617302070612834
low_to_high,stable_low,0,1,33,early,0.13818818529459295,0.14005457497955903,0.00186638968496608,0.30237726963761585,0.20857413777138994,-0.09380313186622591,0.09566952155119199
low_to_high,stable_low,0,1,36,mid,0.0513108344374596,0.0667974019396884,0.0154865675022288,0.3135641033442894,0.4182141678792939,0.10465006453500447,-0.08916349703277568
low_to_high,stable_low,0,1,39,mid,0.006702615606906241,0.006116359814222168,-0.0005862557926840728,1.2597323516710586,1.3626824372343742,0.10295008556331564,-0.10353634135599972
low_to_high,stable_low,0,1,42,mid,0.0381921896416066,0.12569589708103512,0.08750370743942852,0.17907485701800138,0.22236156818429495,0.04328671116629357,0.044216996273134954
low_to_high,stable_low,0,1,45,mid,0.09465946681957767,0.026323725740002038,-0.06833574107957563,0.36995098265018,0.18102595432047466,-0.18892502832970534,0.12058928725012971
low_to_high,stable_low,0,1,48,mid,0.08071852155244609,0.10165497652321337,0.02093645497076728,0.018590127659607037,0.011012627510570286,-0.007577500149036751,0.02851395511980403
low_to_high,stable_low,0,1,51,mid,0.03668766109022286,0.2266550601853029,0.18996739909508004,0.046692944696146085,0.03252959964854611,-0.014163345047599973,0.20413074414268
low_to_high,stable_low,0,1,54,mid,0.22574832039508172,0.215237385084494,-0.010510935310587721,0.5916968787579694,0.5784749882975381,-0.013221890460431318,0.002710955149843597
low_to_high,stable_low,0,1,57,mid,0.4051004876344924,0.381199476415378,-0.02390101121911442,1.3501420384770138,1.1895923597138165,-0.16054967876319726,0.13664866754408284
low_to_high,stable_low,0,1,60,mid,0.35008588165995796,1.8534911360866935,1.5034052544267356,1.2358576814879922,1.1811846643845698,-0.05467301710342243,1.558078271530158
low_to_high,stable_low,0,1,63,mid,0.2300686518165537,0.11759982990451791,-0.11246882191203579,0.3322357655078936,0.20047837091830936,-0.13175739458958421,0.019288572677548424
low_to_high,stable_low,0,1,66,mid,0.15837060840040007,0.24683159864747117,0.0884609902470711,0.8893780692727596,0.9640347594852862,0.07465669021252652,0.013804300034544581
low_to_high,stable_low,0,1,69,mid,0.08563857393422127,8.584717187940325e-06,-0.08562998921703333,0.19885174528362565,0.052373362937007395,-0.14647838234661825,0.06084839312958493
low_to_high,stable_low,0,1,72,late,0.04024718526821737,0.006538374553734027,-0.03370881071448334,0.10370192813855594,0.27813484399370775,0.1744329158551518,-0.20814172656963514
low_to_high,stable_low,0,1,75,late,0.1661019881281108,0.13598178508146982,-0.03012020304664098,0.43271104169490787,0.6850369933467725,0.2523259516518646,-0.2824461546985056
low_to_high,stable_low,0,1,78,late,0.29556428101213467,0.58024190977147,0.2846776287593354,0.6755104936633409,0.9436588746860917,0.26814838102275074,0.01652924773658465
low_to_high,stable_low,0,1,81,late,0.02460517712067797,0.11335584265822557,0.0887506655375476,0.10134310844411865,0.09483559869160665,-0.006507509752511992,0.09525817529005959
