direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low,stable_high,1,0,0.10685237064604677,0.10935827003638958,0.0025058993903428186
high_to_low,stable_high,1,1,0.23317496994654413,0.23788871322728244,0.0047137432807382775
high_to_low,stable_high,1,2,0.013476758234790488,0.02477177347435468,0.011295015239564197
high_to_low,stable_high,1,3,-0.05835637240013606,-0.008539210584537169,0.04981716181559889
high_to_low,stable_high,1,4,0.27579278917481365,0.3064673433924738,0.030674554217660126
high_to_low,stable_high,1,5,0.16644018543082165,0.1542927127439886,-0.012147472686833019
high_to_low,stable_high,1,6,0.031957143934687945,0.032048091401975856,9.094746728789787e-05
high_to_low,stable_high,1,7,0.002969766564213605,-0.015660735737012314,-0.018630502301225916
high_to_low,stable_high,1,8,-0.025665145771126108,-0.0057491576164739435,0.01991598815465216
high_to_low,stable_high,1,9,-0.06634637403299862,-0.049877848529985794,0.016468525503012827
high_to_low,stable_high,1,10,0.15279976709982496,0.11365268640560451,-0.039147080694220425
high_to_low,stable_high,1,11,-0.05900162584944183,-0.004423796343130041,0.05457782950631178
high_to_low,stable_high,1,12,0.0652361725734785,0.06051936616166394,-0.004716806411814555
high_to_low,stable_high,1,13,0.14767751128067375,0.12932170249949088,-0.018355808781182887
high_to_low,stable_high,1,14,0.0469434988186801,0.05704126192474838,0.01009776310606828
high_to_low,stable_high,1,15,0.16618287025370557,0.1611050063982255,-0.005077863855480079
high_to_low,stable_high,1,16,0.001772209382870946,0.0010727972681888961,-0.0006994121146820508
high_to_low,stable_high,1,17,0.023190283591521928,0.032639589275078026,0.009449305683556095
high_to_low,stable_high,1,18,0.015458484322299165,0.028177980791705103,0.012719496469405933
high_to_low,stable_high,1,19,0.0965533746476682,0.07264886703391514,-0.023904507613753033
high_to_low,stable_high,1,20,0.3084589126890721,0.2973062446406609,-0.011152668048411193
high_to_low,stable_high,1,21,0.3069898942328264,0.3200299425387601,0.013040048305933638
high_to_low,stable_high,1,22,0.045782802092613414,0.05202934603204035,0.0062465439394269375
high_to_low,stable_high,1,23,0.052144609927631556,0.04058097353220341,-0.011563636395428144
high_to_low,stable_high,1,24,0.2508808817422888,0.20906131242788054,-0.04181956931440831
high_to_low,stable_high,1,25,0.18794288807533346,0.1883156314434958,0.00037274336816237074
high_to_low,stable_high,1,26,0.2550490476791113,0.25626726783835563,0.0012182201592443322
high_to_low,stable_high,1,27,0.2580126446336338,0.2588825910496328,0.0008699464159989982
high_to_low,stable_high,1,28,0.042644830833419,0.04376022956643982,0.00111539873302082
high_to_low,stable_high,1,29,-0.11183294969673463,-0.04719355085620483,0.0646393988405298
high_to_low,stable_high,3,0,0.106943841412378,0.09154897008855396,-0.01539487132382405
high_to_low,stable_high,3,1,0.17965949762170821,0.267075951438542,0.0874164538168338
high_to_low,stable_high,3,2,0.053378055470624367,0.05527734718191488,0.0018992917112904974
high_to_low,stable_high,3,3,0.03449118778907263,0.09622993546344549,0.06173874767437286
high_to_low,stable_high,3,4,0.15764442464300527,0.26094238846833206,0.10329796382532677
high_to_low,stable_high,3,5,0.11214952595393313,0.10086197047496984,-0.01128755547896328
high_to_low,stable_high,3,6,0.10406766783193759,0.08689108911467422,-0.017176578717263375
high_to_low,stable_high,3,7,0.0009904085662771304,-0.007178340376003793,-0.008168748942280923
high_to_low,stable_high,3,8,-0.023938435883582125,0.00931402385761381,0.033252459741195936
high_to_low,stable_high,3,9,0.09337524820108867,0.09753885285652668,0.004163604655438019
high_to_low,stable_high,3,10,-0.024655687617927035,-0.02763520021827747,-0.0029795126003504453
high_to_low,stable_high,3,11,-0.017714553353595352,0.0022749642195818436,0.0199895175731772
high_to_low,stable_high,3,12,0.10675570236324317,0.06383379698552918,-0.042921905377713995
high_to_low,stable_high,3,13,0.326343691786127,0.3144082218121959,-0.011935469973931023
high_to_low,stable_high,3,14,0.06616249851730026,0.09585045180161919,0.02968795328431893
high_to_low,stable_high,3,15,0.013060012488842958,0.010591811731931593,-0.002468200756911372
high_to_low,stable_high,3,16,0.11321995120808422,0.0970525584944685,-0.01616739271361568
high_to_low,stable_high,3,17,0.1705816840919245,0.16616453116512375,-0.004417152926800732
high_to_low,stable_high,3,18,-0.03394546720498472,-0.00735853039912778,0.02658693680585695
