direction,matched_control,horizon,period,n_pairs,transition_adaptive_rmse_vs_frozen,control_adaptive_rmse_vs_frozen,mean_excess_adaptive_mse_advantage
low_to_high,stable_low,1,all_post,1200,0.7675451133963493,0.9420841694441388,0.07198255323766571
low_to_high,stable_low,1,early,360,0.9390565536718509,0.9927513176620413,0.023763861778852226
low_to_high,stable_low,1,late,480,0.64151708740653,0.9047829359712316,0.10782740538453665
low_to_high,stable_low,1,mid,360,0.7736847811965057,0.9497244175548357,0.07240810850065123
low_to_high,stable_low,3,all_post,1200,0.8625234667133173,0.9091181755167581,0.019693590684722498
low_to_high,stable_low,3,early,360,0.9568820770248365,0.9755652551224832,0.00712890462907749
low_to_high,stable_low,3,late,480,0.7648228660219033,0.8418950084540371,0.031425572843093955
low_to_high,stable_low,3,mid,360,0.9248220143275032,0.9548158332963462,0.016615633862538892
low_to_high,stable_low,6,all_post,1170,0.9424281848234554,0.9182028837096646,-0.018311487322816147
low_to_high,stable_low,6,early,360,1.0129263723967132,0.9931324354264727,-0.014006720292321962
low_to_high,stable_low,6,late,450,0.8869439284805646,0.8422308259731959,-0.040509359412322254
low_to_high,stable_low,6,mid,360,0.957675145514022,0.9597301684981031,0.00513108575857231
low_to_high,stable_low,12,all_post,1110,0.9432572949898572,0.9005049285141162,-0.034261500534274826
low_to_high,stable_low,12,early,360,1.0264753615018525,0.9736796194595271,-0.0578921705505289
low_to_high,stable_low,12,late,390,0.8869872222468977,0.8156206980599012,-0.0700152260860119
low_to_high,stable_low,12,mid,360,0.9326388410451988,0.9380500877726764,0.028102372163027755
high_to_low,stable_high,1,all_post,1200,0.8836545444655239,0.9836721425207093,0.0977727400019378
high_to_low,stable_high,1,early,360,0.924209900371712,1.0017136875434651,0.06660295986722647
high_to_low,stable_high,1,late,480,0.8441332418235219,0.9609214598187943,0.12277072972009963
high_to_low,stable_high,1,mid,360,0.8940762489340225,0.9988313454585026,0.09561186717910002
high_to_low,stable_high,3,all_post,1200,0.8794841876142876,0.9775582168617849,0.09316896683711696
high_to_low,stable_high,3,early,360,0.9523578197329079,0.9828743446446827,0.03389477186890621
high_to_low,stable_high,3,late,480,0.8154891518841867,0.9471121331998712,0.13619890860602862
high_to_low,stable_high,3,mid,360,0.8946984691254722,1.0168219730197168,0.09506990611344557
high_to_low,stable_high,6,all_post,1170,0.9063667337158956,0.9549166409786557,0.04660852866777737
high_to_low,stable_high,6,early,360,0.988106202144408,0.9758529140321728,-0.006488095660190406
high_to_low,stable_high,6,late,450,0.8206245940330907,0.8986398421523676,0.08256329810278755
high_to_low,stable_high,6,mid,360,0.9469013609821959,1.0103327717070514,0.05476169120198242
high_to_low,stable_high,12,all_post,1110,0.86422697671241,0.9015670221236777,0.03594419839148574
high_to_low,stable_high,12,early,360,1.0135165475796353,1.0146069895336747,0.0016863370715839616
high_to_low,stable_high,12,late,390,0.7138535944429133,0.7910332281897609,0.09253704235490232
high_to_low,stable_high,12,mid,360,0.9356434740914753,0.9523974855536519,0.008893145417686243
