direction,start_control,target_control,seed,horizon,relative_origin,transition_adaptive_order,transition_adaptive_window,transition_adaptive_smoothness,transition_adaptive_window_post_fraction,start_adaptive_order,start_adaptive_window,start_adaptive_smoothness,start_adaptive_window_post_fraction,target_adaptive_order,target_adaptive_window,target_adaptive_smoothness,target_adaptive_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,0,2,48,0.972214039136268,0.0,2,48,0.972214039136268,0.0,2,72,0.9861335323060098,0.0,0.013919493169741726,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,3,2,72,0.9849763610939005,0.041666666666666664,2,72,0.9760902972392227,0.041666666666666664,2,72,0.9919740953992634,0.041666666666666664,0.006997734305362879,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,6,2,72,0.9811870951100015,0.08333333333333333,2,48,0.9761487179851337,0.125,2,72,0.9922085181964813,0.08333333333333333,0.011021423086479798,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,9,3,72,0.9992713081127172,0.125,2,48,0.9768163338721204,0.1875,2,72,0.9869293280247651,0.125,0.012341980087952176,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,12,2,72,0.9880171025530272,0.16666666666666666,2,48,0.9761463523095396,0.25,2,72,0.9928140928749656,0.16666666666666666,0.004796990321938366,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,15,2,72,0.988054818094345,0.20833333333333334,2,48,0.9737827525780678,0.3125,2,72,0.9912282464428059,0.20833333333333334,0.003173428348460905,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,18,2,72,0.9935740724861221,0.25,2,24,0.9981487190081696,0.75,2,72,0.9926045511787603,0.25,0.0009695213073617204,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,21,2,72,0.9959233809492408,0.2916666666666667,2,48,0.9731925533829412,0.4375,2,72,0.9937412800735327,0.2916666666666667,0.0021821008757081373,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,24,2,72,1.00000035924574,0.3333333333333333,2,48,0.9753868547830599,0.5,2,72,0.9951788779670031,0.3333333333333333,0.004821481278736939,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,27,2,72,0.9956942560965789,0.375,2,48,0.9742323688305845,0.5625,2,72,0.9948456481409402,0.375,0.0008486079556386805,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,30,2,72,0.9944860989238813,0.4166666666666667,2,48,0.9646914244484196,0.625,2,72,0.9932930391548992,0.4166666666666667,0.0011930597689820965,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,33,2,72,0.9922024037556966,0.4583333333333333,2,48,0.95953501961073,0.6875,2,72,0.9933560628153478,0.4583333333333333,0.0011536590596512575,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,36,2,72,0.9897157795430382,0.5,2,48,0.9566833198342694,0.75,3,48,0.9999948275110019,0.75,0.01027904796796364,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,39,3,48,0.9999979076805418,0.8125,3,48,0.9882886727063462,0.8125,3,48,0.9999972671599587,0.8125,6.405205830173344e-07,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,42,3,48,0.9999939036535136,0.875,3,48,0.9942108282732846,0.875,3,48,0.9999939036535136,0.875,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,45,3,48,0.9999939036535136,0.9375,2,24,0.9999995986769766,1.0,2,72,0.9922417640516568,0.625,0.007752139601856833,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,48,3,48,0.9999939036535136,1.0,2,24,0.9999995762507841,1.0,2,24,0.999999920914106,1.0,6.0172605924613265e-06,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,51,3,48,0.9999939036535136,1.0,2,24,0.9999996096226015,1.0,2,72,0.9937338728090122,0.7083333333333334,0.006260030844501441,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,54,2,72,0.9891923719047736,0.75,2,24,0.9999999673144423,1.0,2,72,1.00000035924574,0.75,0.01080798734096644,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,57,3,48,0.999997789755573,1.0,2,24,0.9999998224850394,1.0,2,24,1.00000024463825,1.0,2.45488267713867e-06,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,60,2,48,0.9999990215052298,1.0,2,24,0.9999995958195295,1.0,2,72,1.00000035924574,0.8333333333333334,1.3377405102543705e-06,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,63,3,48,0.9999939036535136,1.0,3,48,0.9915993665960927,1.0,3,48,0.9999939036535136,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,66,2,48,0.9999990215052298,1.0,3,48,0.993279995319331,1.0,3,48,0.9999939036535136,1.0,5.117851716196498e-06,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,69,2,24,0.9999997327572561,1.0,3,72,0.9699481178855965,0.9583333333333334,2,24,0.9999997080115123,1.0,2.4745743787413232e-08,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,72,2,48,0.9937313975388802,1.0,3,72,0.973216508078016,1.0,2,24,0.9999996729835173,1.0,0.00626827544463715,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,75,1,24,0.9291543796377757,1.0,3,72,0.9728198287708284,1.0,2,24,0.999999676283885,1.0,0.07084529664610928,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,78,1,24,0.9483864272788581,1.0,3,72,0.9725562376718031,1.0,1,24,0.9444978269516555,1.0,0.003888600327202618,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,81,1,72,0.9385346034685722,1.0,1,48,0.8293039995291879,1.0,1,72,0.9372094842039589,1.0,0.001325119264613317,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,84,1,72,0.9523783743912355,1.0,1,72,0.8583495888018906,1.0,1,72,0.9518173405877862,1.0,0.0005610338034492957,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,87,1,48,0.956100992087152,1.0,1,48,0.8516292318307722,1.0,1,48,0.9557588942461671,1.0,0.000342097840984934,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,90,1,48,0.9572232773899507,1.0,1,72,0.8411084887072197,1.0,1,48,0.9571985712681624,1.0,2.4706121788287128e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,93,1,48,0.9576246670974834,1.0,1,72,0.8450422112330749,1.0,1,48,0.9576049263327392,1.0,1.974076474420272e-05,1.0,1.0,1.0
