direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high_roughness,stable_low_roughness,0,1,0,early,0.2127761470633023,0.2127761470633023,0.0,0.21610941573658007,0.21610941573658007,0.0,0.0
low_to_high_roughness,stable_low_roughness,0,1,3,early,0.0892137601750958,0.05753710858794124,-0.03167665158715456,0.06619292558157354,0.03952503954395049,-0.026667886037623052,-0.005008765549531509
low_to_high_roughness,stable_low_roughness,0,1,6,early,0.43610460711144944,0.35133509047062395,-0.08476951664082549,0.34208847279273186,0.26622161854600435,-0.07586685424672751,-0.008902662394097982
low_to_high_roughness,stable_low_roughness,0,1,9,early,0.6034307254430067,0.5997367960960314,-0.003693929346975322,0.6992190326630225,0.7071001806502982,0.007881147987275683,-0.011575077334251005
low_to_high_roughness,stable_low_roughness,0,1,12,early,0.00018917423640584107,0.0009731839051021685,0.0007840096686963275,0.013493150060776005,0.024200425318748386,0.010707275257972382,-0.009923265589276054
low_to_high_roughness,stable_low_roughness,0,1,15,early,0.17900257067015446,0.1981086305051969,0.019106059835042433,0.374810658875758,0.39218159881814846,0.017370939942390473,0.0017351198926519595
low_to_high_roughness,stable_low_roughness,0,1,18,early,0.02196972684263767,0.0389170536372852,0.016947326794647527,0.13724843589373673,0.15973191250761895,0.022483476613882225,-0.005536149819234698
low_to_high_roughness,stable_low_roughness,0,1,21,early,0.14167404806020192,0.18435602288473021,0.04268197482452829,0.4466728333599214,0.4657669065050489,0.01909407314512751,0.02358790167940078
low_to_high_roughness,stable_low_roughness,0,1,24,early,0.6909450798074281,0.5429978516583531,-0.14794722814907502,0.1641709220064066,0.14979230767370036,-0.014378614332706235,-0.13356861381636878
low_to_high_roughness,stable_low_roughness,0,1,27,early,0.28805179075470727,0.2440665032270699,-0.04398528752763736,0.010580787994674302,0.011561943207819943,0.000981155213145641,-0.044966442740783
low_to_high_roughness,stable_low_roughness,0,1,30,early,0.6880509683059305,0.9863100781296512,0.2982591098237207,0.27082967601486024,0.3006455096322165,0.029815833617356235,0.2684432762063645
low_to_high_roughness,stable_low_roughness,0,1,33,early,0.11224491098718205,0.6245706830819847,0.5123257720948027,0.15542930994177356,0.16761762770496327,0.01218831776318971,0.5001374543316129
low_to_high_roughness,stable_low_roughness,0,1,36,mid,0.14682293766584908,0.8420380909125982,0.6952151532467491,0.3890505099444115,0.4013000801755135,0.012249570231102014,0.6829655830156471
low_to_high_roughness,stable_low_roughness,0,1,39,mid,0.837162322823433,1.8230427060601182,0.9858803832366853,1.1962253087908634,1.2802882604652865,0.08406295167442313,0.9018174315622621
low_to_high_roughness,stable_low_roughness,0,1,42,mid,0.06840706350098827,0.3861161425450646,0.3177090790440763,0.2617544166698319,0.2725705781950554,0.010816161525223522,0.3068929175188528
low_to_high_roughness,stable_low_roughness,0,1,45,mid,0.5524786012594441,0.06633348033592797,-0.4861451209235162,0.05365865440449285,0.11045099450977007,0.05679234010527722,-0.5429374610287934
low_to_high_roughness,stable_low_roughness,0,1,48,mid,0.060353248410101173,0.0038367411064546227,-0.05651650730364655,0.0010221477275087663,0.0015286155878389167,0.0005064678603301505,-0.057022975163976704
low_to_high_roughness,stable_low_roughness,0,1,51,mid,0.09831254234942467,0.0375336196357368,-0.06077892271368787,0.01103155769434715,0.022510556774313597,0.011478999079966447,-0.07225792179365431
low_to_high_roughness,stable_low_roughness,0,1,54,mid,0.4174847634897013,0.5838737246648626,0.16638896117516133,0.469810665950736,0.5460541158513488,0.07624344990061277,0.09014551127454856
low_to_high_roughness,stable_low_roughness,0,1,57,mid,1.6048364842746787,1.2151907163158728,-0.3896457679588059,1.1264461799838974,1.1173068949952865,-0.00913928498861094,-0.38050648297019496
low_to_high_roughness,stable_low_roughness,0,1,60,mid,1.7781798760907968,1.8257637860942115,0.047583910003414776,1.324026513414209,1.103951356387589,-0.22007515702662017,0.26765906703003495
low_to_high_roughness,stable_low_roughness,0,1,63,mid,0.08081552114934311,5.58226586953576e-07,-0.08081496292275615,0.44459583864081925,0.2398246327177865,-0.20477120592303275,0.12395624300027659
low_to_high_roughness,stable_low_roughness,0,1,66,mid,1.3155076294029193,2.094780015477478,0.7792723860745587,0.9223794623980441,0.7912185986797328,-0.13116086371831137,0.9104332497928701
low_to_high_roughness,stable_low_roughness,0,1,69,mid,0.27691704077210744,0.0704432884664152,-0.20647375230569223,0.005807834825004812,0.05881408314501356,0.05300624832000875,-0.259480000625701
low_to_high_roughness,stable_low_roughness,0,1,72,late,0.0825720428572167,0.9447052000884356,0.862133157231219,0.35134300863645174,0.24898429551382412,-0.10235871312262762,0.9644918703538465
low_to_high_roughness,stable_low_roughness,0,1,75,late,0.2787053708152023,1.5406816531673024,1.2619762823521001,0.4570549153665734,0.7102217048123355,0.2531667894457621,1.008809492906338
low_to_high_roughness,stable_low_roughness,0,1,78,late,0.34405593533468815,1.8242168109676749,1.4801608756329867,0.6761182304699771,1.102052248342604,0.42593401787262697,1.0542268577603597
low_to_high_roughness,stable_low_roughness,0,1,81,late,0.0019273899326520303,0.3854585199249658,0.3835311299923138,0.04441178358216961,0.17808247236733007,0.13367068878516047,0.24986044120715334
low_to_high_roughness,stable_low_roughness,0,1,84,late,1.2391931569674672,0.4297205212136711,-0.8094726357537961,1.0196913228399755,0.6647614040445557,-0.3549299187954198,-0.45454271695837634
low_to_high_roughness,stable_low_roughness,0,1,87,late,0.26798627106947837,0.2734748418707901,0.00548857080131171,0.6787070152835132,0.432123295437972,-0.24658371984554117,0.2520722906468529
low_to_high_roughness,stable_low_roughness,0,1,90,late,0.8590406010335855,0.3620765901346479,-0.4969640108989376,0.051908384404924096,0.1801511627534039,0.1282427783484798,-0.6252067892474173
low_to_high_roughness,stable_low_roughness,0,1,93,late,0.02482135404730442,0.07382167241580213,0.04900031836849771,0.3284562938378429,0.14654105471224954,-0.18191523912559338,0.2309155574940911
low_to_high_roughness,stable_low_roughness,0,1,96,late,0.25033021249603027,0.14584535545898222,-0.10448485703704805,0.5079681672482964,0.2803408096879473,-0.22762735756034913,0.12314250052330108
low_to_high_roughness,stable_low_roughness,0,1,99,late,0.020120111041818232,0.10675710259009018,0.08663699154827195,0.0037267924606821518,0.01139032082827154,0.007663528367589389,0.07897346318068256
low_to_high_roughness,stable_low_roughness,0,1,102,late,0.5475655392504271,1.0824482043190804,0.5348826650686533,0.4787548225834164,0.6376689766881666,0.15891415410475018,0.37596851096390316
low_to_high_roughness,stable_low_roughness,0,1,105,late,0.00031131709865251105,0.25460354331990037,0.25429222622124786,0.0018727479651910013,0.03386083942230916,0.03198809145711815,0.22230413476412972
low_to_high_roughness,stable_low_roughness,0,1,108,late,0.1599934164980939,0.13504950945438612,-0.024943907043707775,0.09970748992295259,0.014820395004611749,-0.08488709491834084,0.05994318787463307
low_to_high_roughness,stable_low_roughness,0,1,111,late,0.5720144215635735,2.483781522390571,1.9117671008269972,0.6201514023829569,0.8457434497462113,0.22559204736325444,1.6861750534637427
low_to_high_roughness,stable_low_roughness,0,1,114,late,0.2038778054924955,2.394976757961365,2.1910989524688693,0.4025548537721648,0.5528909675119927,0.15033611373982791,2.0407628387290413
low_to_high_roughness,stable_low_roughness,0,1,117,late,0.14085813152507368,2.367013985730363,2.2261558542052895,0.407551080710557,0.4313420041665642,0.023790923456007196,2.2023649307492823
low_to_high_roughness,stable_low_roughness,0,3,0,early,0.9012738426444624,0.9012738426444624,0.0,0.9369742745087191,0.9369742745087191,0.0,0.0
low_to_high_roughness,stable_low_roughness,0,3,3,early,0.08336791096229852,0.02942377893197884,-0.05394413203031968,0.058058882181147214,0.03225889792227582,-0.025799984258871395,-0.02814414777144829
low_to_high_roughness,stable_low_roughness,0,3,6,early,0.20601174102423017,0.049469543053231646,-0.15654219797099853,0.1428303396758631,0.0379083035003333,-0.10492203617552978,-0.051620161795468744
low_to_high_roughness,stable_low_roughness,0,3,9,early,0.328781769880959,0.32884227708666025,6.050720570127677e-05,0.2635525628681605,0.3711793763128088,0.1076268134446483,-0.10756630623894703
low_to_high_roughness,stable_low_roughness,0,3,12,early,0.07138508767205475,0.04973486607180406,-0.021650221600250687,0.043606137299109136,0.07121291332202202,0.027606776022912886,-0.04925699762316357
low_to_high_roughness,stable_low_roughness,0,3,15,early,0.4824175232350914,0.41215065436308557,-0.07026686887200584,0.39758576118383515,0.3806709211241604,-0.01691484005967475,-0.05335202881233109
low_to_high_roughness,stable_low_roughness,0,3,18,early,0.2021637123041021,0.20214501714176272,-1.869516233937718e-05,0.1960383723462599,0.21815474349920036,0.02211637115294046,-0.02213506631527984
low_to_high_roughness,stable_low_roughness,0,3,21,early,0.4890990211064159,0.48895811978957965,-0.0001409013168362505,0.41544959125143094,0.4178090462075174,0.002359454956086471,-0.0025003562729227213
low_to_high_roughness,stable_low_roughness,0,3,24,early,0.1635751754018204,0.16355289767175749,-2.2277730062914003e-05,0.16388761614492683,0.18450922558153007,0.02062160943660324,-0.020643887166666153
