direction,matched_control,horizon,period,n_pairs,transition_adaptive_rmse_vs_frozen,control_adaptive_rmse_vs_frozen,mean_excess_adaptive_mse_advantage
low_to_high_roughness,stable_low_roughness,1,all_post,1200,0.6028073298147335,0.9680979368319149,0.6228644477649293
low_to_high_roughness,stable_low_roughness,1,early,360,0.8591703216868727,1.0038262876964077,0.12850742577400556
low_to_high_roughness,stable_low_roughness,1,late,480,0.5093115242266941,0.9301539860260442,0.9267612136352255
low_to_high_roughness,stable_low_roughness,1,mid,360,0.6038543252791025,0.9861199490467656,0.712025781928792
low_to_high_roughness,stable_low_roughness,3,all_post,1200,0.6077672346211602,0.9385266109961878,0.6009670408169251
low_to_high_roughness,stable_low_roughness,3,early,360,0.849408680121656,0.9873202487788095,0.13405304064880966
low_to_high_roughness,stable_low_roughness,3,late,480,0.532537821235,0.9098086007242097,0.8951193006766646
low_to_high_roughness,stable_low_roughness,3,mid,360,0.5880729361341295,0.9359432702941317,0.675678027838721
low_to_high_roughness,stable_low_roughness,6,all_post,1170,0.6454836423883571,0.9490549079030216,0.6286143236405761
low_to_high_roughness,stable_low_roughness,6,early,360,0.8805220591097466,0.9994646992075528,0.1357478964412446
low_to_high_roughness,stable_low_roughness,6,late,450,0.5603755313833679,0.9135264826136879,0.9445752859137982
low_to_high_roughness,stable_low_roughness,6,mid,360,0.6272176256861909,0.9499279378371106,0.7265295479983794
low_to_high_roughness,stable_low_roughness,12,all_post,1110,0.7061352242872498,0.9452393657377395,0.8122097154245786
low_to_high_roughness,stable_low_roughness,12,early,360,0.8801576890588426,0.9844968720987195,0.22811690435996634
low_to_high_roughness,stable_low_roughness,12,late,390,0.5931044851537869,0.9021150169070304,1.289166130957464
low_to_high_roughness,stable_low_roughness,12,mid,360,0.7217629804902848,0.9566392211898752,0.8795997429952321
high_to_low_roughness,stable_high_roughness,1,all_post,1200,0.9479254216224111,0.5784743656271353,-0.703917178947968
high_to_low_roughness,stable_high_roughness,1,early,360,0.9816445971450668,0.9203469024223503,-0.056721880116923896
high_to_low_roughness,stable_high_roughness,1,late,480,0.9192769220084122,0.41274690153537263,-1.650234239440671
high_to_low_roughness,stable_high_roughness,1,mid,360,0.9510676998892037,0.8698812593121185,-0.08935639712207484
high_to_low_roughness,stable_high_roughness,3,all_post,1200,0.9267935394180946,0.5736488104489317,-0.7235730703523657
high_to_low_roughness,stable_high_roughness,3,early,360,0.9547636155728846,0.9115129149107559,-0.04588428742317718
high_to_low_roughness,stable_high_roughness,3,late,480,0.9019615789084947,0.4148178113725085,-1.772626960903724
high_to_low_roughness,stable_high_roughness,3,mid,360,0.9308861628847648,0.9393871043043165,-0.002523332546410174
high_to_low_roughness,stable_high_roughness,6,all_post,1170,0.9275384158490809,0.6056001816381094,-0.7567073777527562
high_to_low_roughness,stable_high_roughness,6,early,360,0.95923880337593,0.9246200935271653,-0.05078145902485738
high_to_low_roughness,stable_high_roughness,6,late,450,0.8920617372289273,0.43635334848557483,-1.880398376022691
high_to_low_roughness,stable_high_roughness,6,mid,360,0.9357078747396822,0.9012251730031223,-0.05801954864323693
high_to_low_roughness,stable_high_roughness,12,all_post,1110,0.9094449831229383,0.7105432528472126,-0.7795225159971223
high_to_low_roughness,stable_high_roughness,12,early,360,1.0050242669431715,0.9914454518364142,-0.02407969725151258
high_to_low_roughness,stable_high_roughness,12,late,390,0.8180537262039085,0.5186066064369432,-2.098167221686378
high_to_low_roughness,stable_high_roughness,12,mid,360,0.8855304594409756,0.8858530251807031,-0.10643357024603868
