direction,start_control,target_control,seed,horizon,relative_origin,transition_adaptive_order,transition_adaptive_window,transition_adaptive_smoothness,transition_adaptive_window_post_fraction,start_adaptive_order,start_adaptive_window,start_adaptive_smoothness,start_adaptive_window_post_fraction,target_adaptive_order,target_adaptive_window,target_adaptive_smoothness,target_adaptive_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,0,2,72,0.9881083068362535,0.0,2,72,0.9881083068362535,0.0,2,48,0.9722140391373482,0.0,0.01589426769890534,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,3,2,72,0.9935122600053349,0.041666666666666664,2,72,0.9935562075868085,0.041666666666666664,2,72,0.9760902972148175,0.041666666666666664,0.01742196279051733,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,6,2,72,0.9935914300654477,0.08333333333333333,2,72,0.9939773161210477,0.08333333333333333,2,48,0.9761487179863492,0.125,0.017442712079098532,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,9,2,72,0.9878373639308762,0.125,2,72,0.9887382954185231,0.125,2,48,0.9768163338734139,0.1875,0.011021030057462244,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,12,2,72,0.9935214179610251,0.16666666666666666,2,72,0.9945337003352265,0.16666666666666666,2,48,0.9761463523103993,0.25,0.017375065650625854,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,15,2,72,0.9914173302995453,0.20833333333333334,2,72,0.9927983668990122,0.20833333333333334,2,48,0.973782752578824,0.3125,0.0176345777207213,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,18,2,72,0.9926472090429715,0.25,2,72,0.9937420565705593,0.25,2,24,0.9981487190054672,0.75,0.005501509962495654,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,21,2,72,0.9933562393151983,0.2916666666666667,2,72,0.9949987985821103,0.2916666666666667,2,48,0.9731925533834064,0.4375,0.020163685931791964,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,24,2,72,0.995109650262648,0.3333333333333333,2,72,0.9960426105393668,0.3333333333333333,2,48,0.975386854783492,0.5,0.019722795479156008,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,27,2,72,0.991244887865317,0.375,2,72,0.9966766448716796,0.375,2,48,0.9742323688318628,0.5625,0.017012519033454132,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,30,2,48,0.98101288413364,0.625,2,72,0.9950445160032504,0.4166666666666667,2,48,0.9646914244490348,0.625,0.01632145968460519,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,33,3,48,0.9999971354548445,0.6875,2,72,0.9960201696072474,0.4583333333333333,2,48,0.9595350196112077,0.6875,0.04046211584363679,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,36,3,48,0.9999939036535136,0.75,2,72,0.9965833358326119,0.5,2,48,0.9566833198347907,0.75,0.04331058381872288,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,39,3,48,0.9999939036535136,0.8125,3,48,0.9999973612651021,0.8125,3,48,0.9882886726795675,0.8125,0.011705230973946046,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,42,3,48,0.9999939036535136,0.875,3,48,0.9999939036535136,0.875,3,48,0.994210827766675,0.875,0.005783075886838573,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,45,3,48,0.9999939036535136,0.9375,2,72,1.00000035924574,0.625,2,24,0.9999996299058059,1.0,5.726252292337364e-06,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,48,3,48,0.9999939036535136,1.0,2,72,1.00000035924574,0.6666666666666666,2,24,0.9999996093653655,1.0,5.705711851877737e-06,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,51,3,48,0.9999939036535136,1.0,2,72,1.00000035924574,0.7083333333333334,2,24,0.9999996400937472,1.0,5.736440233605755e-06,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,54,2,24,0.9999999465324471,1.0,2,72,1.00000035924574,0.75,2,24,0.9999999717703005,1.0,2.5237853473747407e-08,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,57,3,48,0.999177769838656,1.0,2,72,1.00000035924574,0.7916666666666666,2,24,0.9999998349575353,1.0,0.0008220651188792782,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,60,3,48,0.9999939036535136,1.0,2,72,1.00000035924574,0.8333333333333334,2,24,0.9999996273098545,1.0,5.723656340883565e-06,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,63,3,48,0.9955793069154898,1.0,3,48,0.9999939036535136,1.0,3,48,0.9915993658660373,1.0,0.00397994104945254,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,66,3,48,0.9966981413210863,1.0,2,72,1.00000035924574,0.9166666666666666,3,48,0.9932799942320906,1.0,0.003418147088995682,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,69,3,72,0.9740349459182157,0.9583333333333334,2,72,1.00000035924574,0.9583333333333334,3,72,0.9699481180157022,0.9583333333333334,0.004086827902513468,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,72,3,72,0.9773679393936333,1.0,2,72,1.00000035924574,1.0,3,72,0.9732165083313082,1.0,0.004151431062325073,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,75,3,72,0.9763186812661474,1.0,2,24,0.9999997260973664,1.0,3,72,0.9728198290230561,1.0,0.0034988522430913216,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,78,3,72,0.9748760850416548,1.0,1,24,0.9445161117677199,1.0,3,72,0.9725562379732597,1.0,0.0023198470683950534,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,81,3,72,0.9738325404597419,1.0,1,72,0.9368050666956677,1.0,3,72,0.972155635791954,1.0,0.0016769046677879151,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,84,3,72,0.9720101826116537,1.0,1,72,0.9495603697516283,1.0,1,72,0.8758454102857385,1.0,0.09616477232591525,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,87,3,48,0.9786087467784411,1.0,1,24,0.9716940146292377,1.0,1,72,0.8719847197783529,1.0,0.10662402700008822,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,90,3,48,0.9757586994256644,1.0,1,24,0.9709954217504019,1.0,1,72,0.867030369776126,1.0,0.10872832964953838,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,93,3,48,0.9803294846341983,1.0,1,24,0.9727386240865364,1.0,1,72,0.8695466889985567,1.0,0.11078279563564164,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,96,3,48,0.9804771203091691,1.0,1,24,0.9640417393505102,1.0,1,72,0.868956039368146,1.0,0.11152108094102309,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,99,3,48,0.9814581548953711,1.0,1,24,0.95385590503354,1.0,1,48,0.8735022506946528,1.0,0.10795590420071832,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,102,3,48,0.9759342506726806,1.0,1,24,0.9074540964989349,1.0,1,72,0.764091520959428,1.0,0.21184272971325258,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,105,3,48,0.9728011974442159,1.0,1,24,0.9108805731346661,1.0,3,48,0.9728027410678007,1.0,1.5436235848431679e-06,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,108,3,48,0.9730572471404296,1.0,1,48,0.9079848114444945,1.0,3,48,0.9730572475165569,1.0,3.7612724046454105e-10,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,111,3,48,0.9746347192572771,1.0,1,48,0.9269845760715603,1.0,1,72,0.8270194684838539,1.0,0.1476152507734232,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,114,3,48,0.9733045894599488,1.0,1,48,0.9433567256043037,1.0,3,48,0.9733045898690459,1.0,4.0909708953762447e-10,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,1,117,3,48,0.9727814407012796,1.0,1,48,0.9721892230018433,1.0,3,48,0.9727814412716278,1.0,5.703482131025339e-10,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,0,3,72,0.999984456995279,0.0,3,72,0.999984456995279,0.0,2,48,0.9728811394263405,0.0,0.02710331756893858,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,3,2,72,0.9907277520293657,0.041666666666666664,2,72,0.990891882758895,0.041666666666666664,2,48,0.979953556340664,0.0625,0.010774195688701749,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,6,2,72,0.990964115160621,0.08333333333333333,2,72,0.9915000972896045,0.08333333333333333,2,48,0.9768087518063879,0.125,0.014155363354233064,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,9,3,72,0.999994982263793,0.125,2,72,0.9879670832275265,0.125,2,48,0.9768466866189641,0.1875,0.023148295644828898,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,12,2,72,0.988310288836879,0.16666666666666666,2,72,0.9895299381067455,0.16666666666666666,2,48,0.9765066883579056,0.25,0.011803600478973442,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,15,2,72,0.9876974755467888,0.20833333333333334,2,72,0.9893734250042322,0.20833333333333334,2,48,0.9761985798455803,0.3125,0.011498895701208434,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,18,3,72,0.9999954541700079,0.25,2,72,0.988719060207554,0.25,2,48,0.9752818781480924,0.375,0.024713576021915484,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,21,3,72,0.9999952348838704,0.2916666666666667,2,72,0.9887266270843916,0.2916666666666667,2,48,0.9745560974203958,0.4375,0.025439137463474593,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,24,3,72,0.9999914063321313,0.3333333333333333,2,72,0.9885898239298027,0.3333333333333333,2,72,0.9657520718763855,0.3333333333333333,0.034239334455745896,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,27,3,72,0.9999894551244679,0.375,2,72,0.989459463715225,0.375,2,72,0.9677824704422961,0.375,0.03220698468217176,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,30,3,72,0.99998392873908,0.4166666666666667,2,72,0.9883248303576455,0.4166666666666667,2,72,0.9624729816089821,0.4166666666666667,0.03751094713009795,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,33,3,72,0.9979772347109175,0.4583333333333333,2,72,0.9887083058027533,0.4583333333333333,2,48,0.9640684451576849,0.6875,0.03390878955323262,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,36,3,72,0.9960630655732773,0.5,2,72,0.9887347530089958,0.5,2,72,0.9577888847566083,0.5,0.038274180816669,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,39,3,72,0.998318796229239,0.5416666666666666,2,72,0.9889223896710448,0.5416666666666666,2,72,0.9612102662248426,0.5416666666666666,0.0371085300043964,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,42,3,72,0.9978347293561028,0.5833333333333334,2,72,0.990003665710506,0.5833333333333334,2,24,0.9967844592144804,1.0,0.0010502701416224003,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,45,3,72,0.9986785421899816,0.625,2,48,0.9999990215052298,0.9375,2,24,0.9999993960229322,1.0,0.0013208538329505526,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,48,3,72,0.9999411442997129,0.6666666666666666,2,48,0.9999990215052298,1.0,2,72,0.9709856602412512,0.6666666666666666,0.02895548405846171,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,51,2,72,0.9770261422333717,0.7083333333333334,2,48,0.9999997630468994,1.0,2,72,0.9747880921082336,0.7083333333333334,0.0022380501251381135,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,54,2,72,0.979468459885494,0.75,2,48,0.9999997078345049,1.0,3,72,0.9999987523564559,0.75,0.02053029247096183,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,57,1,24,0.9365120691726603,1.0,2,48,0.9999997819400049,1.0,2,72,0.9715576835840113,0.7916666666666666,0.03504561441135101,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,60,2,72,0.9760120681927198,0.8333333333333334,2,72,0.9986692708227166,0.8333333333333334,3,72,0.9999987523564559,0.8333333333333334,0.02398668416373606,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,63,1,24,0.8655517406646787,1.0,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.875,0.1344470116917772,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,66,1,24,0.8356241070844004,1.0,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.9166666666666666,0.16437464527205548,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,69,2,24,0.9657539135492007,1.0,2,48,0.9999990215052298,1.0,2,24,0.9649734924025993,1.0,0.0007804211466013733,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,72,1,24,0.7925642767557635,1.0,2,48,0.9999990215052298,1.0,3,72,0.9987891159098048,1.0,0.20622483915404133,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,75,2,24,0.967076185532496,1.0,2,48,0.9999990215052298,1.0,2,24,0.9666015237173595,1.0,0.0004746618151364457,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,78,2,24,0.9696836756799861,1.0,2,48,0.9999990215052298,1.0,2,24,0.9696589498668581,1.0,2.4725813128068097e-05,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,81,2,24,0.969655733002639,1.0,2,48,0.9939803108563877,1.0,2,24,0.9696425408643542,1.0,1.319213828476773e-05,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,84,2,24,0.9707999566886711,1.0,2,48,0.9924367398584583,1.0,2,24,0.9707999566871006,1.0,1.5705214906347464e-12,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,87,2,24,0.9685083140969878,1.0,2,48,0.9963649054624831,1.0,1,24,0.6502702038391657,1.0,0.3182381102578221,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,90,2,24,0.9641865752259694,1.0,2,48,0.999166143484377,1.0,1,24,0.6590208092869166,1.0,0.30516576593905276,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,93,2,24,0.9718879180642694,1.0,2,48,0.9999990215052298,1.0,1,24,0.6521232423477198,1.0,0.31976467571654965,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,96,2,24,0.9706962849738237,1.0,2,48,0.9999990215052298,1.0,1,24,0.655872995952162,1.0,0.3148232890216617,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,99,2,24,0.9703273747203727,1.0,2,48,0.9999990215052298,1.0,1,72,0.773986077011038,1.0,0.19634129770933462,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,102,2,24,0.959916371392055,1.0,2,48,0.9999990215052298,1.0,1,24,0.5627506465475443,1.0,0.39716572484451074,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,105,2,24,0.9556812728362487,1.0,2,48,0.9999990215052298,1.0,1,24,0.6729980349867932,1.0,0.2826832378494555,0.0,1.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,108,2,24,0.949241766348387,1.0,1,48,0.8591060801152296,1.0,1,72,0.7136569469206637,1.0,0.23558481942772325,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,111,2,24,0.9526576710647999,1.0,1,24,0.9110673300895322,1.0,1,72,0.7524401020592635,1.0,0.20021756900553644,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,114,2,48,0.9142421869982214,1.0,1,48,0.9092503297085566,1.0,2,48,0.9142421869972398,1.0,9.815481760711009e-13,1.0,1.0,1.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,3,117,2,48,0.9128201419497832,1.0,1,48,0.9346616975378036,1.0,1,24,0.6511779728680192,1.0,0.2616421690817641,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,0,3,72,0.9991124104687907,0.0,3,72,0.9991124104687907,0.0,2,48,0.9727874636930832,0.0,0.026324946775707514,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,3,3,72,0.9988551981857953,0.041666666666666664,2,72,0.9801768553531511,0.041666666666666664,2,48,0.970928476386238,0.0625,0.02792672179955724,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,6,2,72,0.9857059457545919,0.08333333333333333,2,72,0.9863527989060895,0.08333333333333333,2,48,0.9723695316973391,0.125,0.013336414057252832,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,9,2,72,0.984853507763488,0.125,2,72,0.985678600583213,0.125,2,48,0.9727861279856042,0.1875,0.012067379777883858,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,12,2,72,0.9839195038039792,0.16666666666666666,2,72,0.9849734806721404,0.16666666666666666,2,48,0.9730146816769446,0.25,0.010904822127034586,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,15,2,72,0.9843138597833577,0.20833333333333334,2,72,0.9859686696047829,0.20833333333333334,2,48,0.9730757213072553,0.3125,0.011238138476102444,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,18,2,72,0.9831402054710155,0.25,2,72,0.9850321788694703,0.25,2,48,0.9712104877370061,0.375,0.011929717734009415,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,21,3,72,0.9999821086735633,0.2916666666666667,2,72,0.9845796894510492,0.2916666666666667,2,48,0.96962964378277,0.4375,0.03035246489079335,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,24,3,72,0.9999775348175387,0.3333333333333333,2,72,0.9842835322323829,0.3333333333333333,2,48,0.9659787487685895,0.5,0.03399878604894924,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,27,3,72,0.9993654594344089,0.375,2,72,0.9832459846103339,0.375,2,24,0.9759887100703121,1.0,0.023376749364096838,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,30,3,72,0.9992146884149328,0.4166666666666667,2,72,0.9838655229752398,0.4166666666666667,2,24,0.9772437782040821,1.0,0.021970910210850625,0.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,33,2,48,0.9653843674787096,0.6875,2,72,0.9800391827923192,0.4583333333333333,2,24,0.9686336522420856,1.0,0.003249284763376048,1.0,0.0,0.0
low_to_high_roughness,stable_low_roughness,stable_high_roughness,0,6,36,2,48,0.9628092944714212,0.75,2,72,0.978649069432204,0.5,2,24,0.9677906289995105,1.0,0.004981334528089354,1.0,0.0,0.0
