direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low_roughness,1,0,0.9417681982158396,0.9417681982158396,0.9812380854911881,0.043596336730293984,2.066666666666667,2.066666666666667,2.033333333333333,44.0,44.0,52.0,0.6,0.4666666666666667,0.4,0.0,0.0394698872753485,0.0
high_to_low_roughness,1,3,0.9220475657640538,0.9220551264219803,0.9662300904638917,0.04984575614476155,2.1,2.1,2.066666666666667,48.8,48.8,59.2,0.5333333333333333,0.5333333333333333,0.4,0.07430555555555556,0.04417496404191146,-0.00017115255417832068
high_to_low_roughness,1,6,0.9180683705060879,0.9179409247709506,0.9729046450421539,0.05816020646946361,2.1,2.1,2.0,48.8,48.8,52.0,0.5333333333333333,0.4,0.26666666666666666,0.15138888888888888,0.05496372027120333,0.002318724688003247
high_to_low_roughness,1,9,0.9299538191127701,0.9287392506225132,0.9525343240864124,0.05294126520418308,2.1333333333333333,2.1,1.9,45.6,45.6,52.0,0.4666666666666667,0.4,0.2,0.23541666666666666,0.023795073463899197,0.05104285524058607
high_to_low_roughness,1,12,0.9173457031613107,0.9178894750131158,0.9617132117412667,0.06091270207650005,2.066666666666667,2.1,1.8333333333333333,45.6,44.0,52.0,0.6333333333333333,0.5,0.3333333333333333,0.3138888888888889,0.043823736728150875,-0.012408158053208562
high_to_low_roughness,1,15,0.9159082081220055,0.9149477260423597,0.9499036419780164,0.06333220321168559,2.1,2.1,1.8333333333333333,42.4,42.4,48.0,0.6,0.43333333333333335,0.4,0.4340277777777778,0.03495591593565661,0.027476953583870596
high_to_low_roughness,1,18,0.9286677686767344,0.9322971468670462,0.9608526334919227,0.06269972616946178,2.2,2.2333333333333334,2.033333333333333,43.2,42.4,47.2,0.7,0.5333333333333333,0.4666666666666667,0.5,0.028555486624876503,-0.12709915393807564
high_to_low_roughness,1,21,0.902366615949404,0.9010094598547737,0.9552846251258019,0.06412648753053744,2.1333333333333333,2.066666666666667,2.066666666666667,44.8,40.8,47.2,0.7333333333333333,0.5333333333333333,0.4666666666666667,0.5541666666666667,0.05427516527102827,0.0250051029389463
high_to_low_roughness,1,24,0.9173314441883831,0.9112696098044807,0.9520149503866471,0.056470410097429244,2.2333333333333334,2.1333333333333333,2.1,44.0,40.8,52.0,0.6666666666666666,0.4666666666666667,0.4,0.6611111111111111,0.04074534058216639,0.1487736830099187
high_to_low_roughness,1,27,0.9190320955768713,0.9307212270372897,0.9835656579031574,0.06875203436367874,2.1,2.2333333333333334,2.2666666666666666,40.8,40.8,57.6,0.7,0.26666666666666666,0.16666666666666666,0.7270833333333333,0.052844430865867764,-0.22119892804008612
high_to_low_roughness,1,30,0.922219992629266,0.9221985577381668,0.9581222318593466,0.058636705497094564,2.1666666666666665,2.2,2.2,42.4,43.2,55.2,0.7666666666666667,0.36666666666666664,0.36666666666666664,0.7458333333333333,0.035923674121179805,0.0005966786979214843
high_to_low_roughness,1,33,0.9126325499071982,0.9021087344939075,0.9531119013753814,0.049606454881782294,2.1333333333333333,2.1666666666666665,2.2333333333333334,41.6,38.4,57.6,0.7666666666666667,0.4,0.3333333333333333,0.7847222222222222,0.05100316688147388,0.20633650921612362
high_to_low_roughness,1,36,0.9180138828027711,0.9351308711295646,0.9628852363550073,0.05831389512995384,2.2,2.2666666666666666,2.2333333333333334,44.8,40.0,54.4,0.8,0.5,0.36666666666666664,0.7833333333333333,0.027754365225442723,-0.6167313929811016
high_to_low_roughness,1,39,0.9485189600411894,0.9318715993973786,0.9650678301492703,0.034391139110533174,2.3,2.3,2.3,42.4,40.8,50.4,0.7666666666666667,0.5333333333333333,0.4666666666666667,0.8368055555555556,0.03319623075189171,0.5014834596202499
high_to_low_roughness,1,42,0.928918183391909,0.9241070020391794,0.9582214314541139,0.03807379657780447,2.2,2.1,2.2,45.6,37.6,54.4,0.7,0.5,0.4,0.8375,0.03411442941493448,0.14103068511599967
high_to_low_roughness,1,45,0.9348503972364987,0.9099090059576406,0.9521384186214527,0.039027430380646065,2.066666666666667,2.033333333333333,2.1,46.4,31.2,52.0,0.7,0.5666666666666667,0.4,0.8666666666666667,0.04222941266381208,0.5906165799040645
high_to_low_roughness,1,48,0.9468814122708227,0.9213280640356971,0.948145494060267,0.0500291187158035,2.2,2.033333333333333,2.2,46.4,40.8,52.8,0.6333333333333333,0.5,0.3333333333333333,0.9,0.026817430024569933,0.9528634254555254
high_to_low_roughness,1,51,0.9391337875788858,0.9157776747417236,0.9472455435841352,0.047839468327079665,2.1333333333333333,2.066666666666667,2.1333333333333333,48.8,40.0,51.2,0.7,0.5333333333333333,0.3333333333333333,0.9027777777777779,0.031467868842411595,0.7422209922803363
high_to_low_roughness,1,54,0.9403549017727535,0.9144348410077076,0.9589690641688624,0.063889276924824,2.1666666666666665,2.033333333333333,1.9666666666666666,50.4,40.8,50.4,0.5333333333333333,0.6666666666666666,0.43333333333333335,0.9166666666666666,0.04453422316115485,0.5820256630782507
high_to_low_roughness,1,57,0.9578478920205549,0.9397840946929799,0.9495793448186114,0.048479741560465056,2.066666666666667,2.1,1.9666666666666666,52.0,36.8,52.0,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.9097222222222221,0.009795250125631538,1.8441384442350186
high_to_low_roughness,1,60,0.9614023618619388,0.9444512682327969,0.9600099218655603,0.039859958188621536,2.2,2.2,2.1333333333333333,48.0,37.6,47.2,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.95,0.01555865363276343,1.0894961755203743
high_to_low_roughness,1,63,0.9600913864723498,0.951913985131355,0.9634111376966846,0.03542924753342889,2.1666666666666665,2.5,2.1666666666666665,49.6,47.2,52.8,0.5666666666666667,0.5333333333333333,0.4666666666666667,0.9583333333333334,0.011497152565329682,0.7112544862329035
