seed,transition,pre_slope_noise_std,post_slope_noise_std,horizon,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,frozen_local_order,frozen_local_window,frozen_local_lambda,frozen_local_smoothness,frozen_local_n_origins,frozen_all_pre_order,frozen_all_pre_window,frozen_all_pre_lambda,frozen_all_pre_smoothness,frozen_all_pre_n_origins,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse,frozen_local_rmse,frozen_all_pre_rmse,benchmark_rmse,adaptive_advantage_vs_frozen_local,adaptive_advantage_vs_frozen_all_pre
0,stable_low_roughness,0.005,0.005,1,180,0,early,2,72,37411.48494267334,0.9881083068362535,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.21610941573658007,0.21610941573658007,0.19786889057424065,4.970673593478642,0.46487569923214966,0.46487569923214966,0.4448245615680868,2.229500749826885,0.0,-0.018240525162339427
0,stable_low_roughness,0.005,0.005,1,183,3,early,2,72,98877.89354462421,0.9935562075868085,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.06619292558157354,0.03952503954395049,0.043602388575626864,1.1670626145601481,0.25727985848405144,0.19880905297282236,0.20881184970117683,1.0803067224451341,-0.026667886037623052,-0.022590537005946675
0,stable_low_roughness,0.005,0.005,1,186,6,early,2,72,108569.3933224859,0.9939773161210477,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.34208847279273186,0.26622161854600435,0.27732242703314347,0.036480205004564656,0.5848832984388697,0.5159666835620342,0.5266141158696218,0.1909979188487787,-0.07586685424672751,-0.06476604575958839
0,stable_low_roughness,0.005,0.005,1,189,9,early,2,72,41252.76141816346,0.9887382954185231,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.6992190326630225,0.7071001806502982,0.6918548608824493,0.8116283643901288,0.8361931790340211,0.8408924905422204,0.831778132005434,0.900904192680958,0.007881147987275683,-0.007364171780573248
0,stable_low_roughness,0.005,0.005,1,192,12,early,2,72,123727.77190618924,0.9945337003352265,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.013493150060776005,0.024200425318748386,0.022665706637027678,0.24826848802086166,0.11616001920099706,0.1555648588812666,0.15055134219603516,0.49826547945935573,0.010707275257972382,0.009172556576251673
0,stable_low_roughness,0.005,0.005,1,195,15,early,2,72,84375.64627270568,0.9927983668990122,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.374810658875758,0.39218159881814846,0.3890733561397628,0.8940695493312911,0.6122178197959922,0.626244040944222,0.6237574497669449,0.945552510086717,0.017370939942390473,0.014262697264004809
0,stable_low_roughness,0.005,0.005,1,198,18,early,2,72,102989.68689777204,0.9937420565705593,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.13724843589373673,0.15973191250761895,0.15605486600064322,0.22467575209066545,0.37047056009045676,0.3996647501439412,0.3950378032551356,0.473999738492191,0.022483476613882225,0.018806430106906497
0,stable_low_roughness,0.005,0.005,1,201,21,early,2,72,139045.57218315342,0.9949987985821103,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.4466728333599214,0.4657669065050489,0.4635072348733829,0.24777010915708264,0.6683358686767615,0.6824711763181277,0.680813656497417,0.4977651144436326,0.01909407314512751,0.016834401513461494
0,stable_low_roughness,0.005,0.005,1,204,24,early,2,72,186760.07040897507,0.9960426105393668,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.1641709220064066,0.14979230767370036,0.1513296258174074,0.255511882716471,0.4051801105760333,0.38703011210201765,0.3890110870109069,0.5054818322318528,-0.014378614332706235,-0.012841296188999207
0,stable_low_roughness,0.005,0.005,1,207,27,early,2,72,230547.30468726682,0.9966766448716796,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.010580787994674302,0.011561943207819943,0.011412217734845728,0.016162597429508593,0.10286295734944773,0.10752647677581528,0.10682798198433652,0.12713220453334628,0.000981155213145641,0.0008314297401714257
