direction,matched_control,horizon,period,n_pairs,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
low_to_high_roughness,stable_low_roughness,1,all_post,1200,0.6228644477649293,0.20233425211690853
low_to_high_roughness,stable_low_roughness,1,early,360,0.12850742577400556,0.06736862346514602
low_to_high_roughness,stable_low_roughness,1,late,480,0.9267612136352255,0.32497500208334534
low_to_high_roughness,stable_low_roughness,1,mid,360,0.712025781928792,0.1737788808134219
low_to_high_roughness,stable_low_roughness,3,all_post,1200,0.6009670408169251,0.2653639165401519
low_to_high_roughness,stable_low_roughness,3,early,360,0.13405304064880966,0.07316765578331005
low_to_high_roughness,stable_low_roughness,3,late,480,0.8951193006766646,0.44974280355898877
low_to_high_roughness,stable_low_roughness,3,mid,360,0.675678027838721,0.21172166127187794
low_to_high_roughness,stable_low_roughness,6,all_post,1170,0.6286143236405761,0.3030297855665252
low_to_high_roughness,stable_low_roughness,6,early,360,0.1357478964412446,0.05366595042258289
low_to_high_roughness,stable_low_roughness,6,late,450,0.9445752859137982,0.5497972144152046
low_to_high_roughness,stable_low_roughness,6,mid,360,0.7265295479983794,0.24393433464961825
low_to_high_roughness,stable_low_roughness,12,all_post,1110,0.8122097154245786,0.5297769537149725
low_to_high_roughness,stable_low_roughness,12,early,360,0.22811690435996634,0.02242016878827927
low_to_high_roughness,stable_low_roughness,12,late,390,1.289166130957464,1.2405469501331887
low_to_high_roughness,stable_low_roughness,12,mid,360,0.8795997429952321,0.2671329091885984
high_to_low_roughness,stable_high_roughness,1,all_post,1200,-0.703917178947968,-0.008378732619011857
high_to_low_roughness,stable_high_roughness,1,early,360,-0.056721880116923896,0.002958091356258345
high_to_low_roughness,stable_high_roughness,1,late,480,-1.650234239440671,-0.015076995262650671
high_to_low_roughness,stable_high_roughness,1,mid,360,-0.08935639712207484,-0.01078453973609698
high_to_low_roughness,stable_high_roughness,3,all_post,1200,-0.7235730703523657,-0.007396820025969048
high_to_low_roughness,stable_high_roughness,3,early,360,-0.04588428742317718,0.008911425746175802
high_to_low_roughness,stable_high_roughness,3,late,480,-1.772626960903724,-0.03525645468477821
high_to_low_roughness,stable_high_roughness,3,mid,360,-0.002523332546410174,0.013441113746964979
high_to_low_roughness,stable_high_roughness,6,all_post,1170,-0.7567073777527562,-0.008866387527964915
high_to_low_roughness,stable_high_roughness,6,early,360,-0.05078145902485738,0.03427402309015172
high_to_low_roughness,stable_high_roughness,6,late,450,-1.880398376022691,-0.06361376512589668
high_to_low_roughness,stable_high_roughness,6,mid,360,-0.05801954864323693,0.016427423851333185
high_to_low_roughness,stable_high_roughness,12,all_post,1110,-0.7795225159971223,0.06727515950875612
high_to_low_roughness,stable_high_roughness,12,early,360,-0.02407969725151258,0.23220438430209608
high_to_low_roughness,stable_high_roughness,12,late,390,-2.098167221686378,-0.07020162117505445
high_to_low_roughness,stable_high_roughness,12,mid,360,-0.10643357024603868,0.05127911378954423
