direction,matched_control,horizon,period,n_pairs,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
low_to_high_roughness,stable_low_roughness,1,all_post,160,0.7737981269266967,0.47396632422981516
low_to_high_roughness,stable_low_roughness,1,early,48,0.22484228895845115,0.3301359692700707
low_to_high_roughness,stable_low_roughness,1,late,64,1.638523475050249,0.8103015006811933
low_to_high_roughness,stable_low_roughness,1,mid,48,0.16978683406353912,0.16934977725438863
low_to_high_roughness,stable_low_roughness,3,all_post,160,0.6549839584008403,0.7317231895506195
low_to_high_roughness,stable_low_roughness,3,early,48,0.1653416895589779,0.2295416339172622
low_to_high_roughness,stable_low_roughness,3,late,64,1.44798252723787,1.5320166851581778
low_to_high_roughness,stable_low_roughness,3,mid,48,0.08729480212666373,0.16684675104056557
low_to_high_roughness,stable_low_roughness,6,all_post,156,0.7325538561566585,0.7953028383470072
low_to_high_roughness,stable_low_roughness,6,early,48,0.19638512750915674,0.23979277679212263
low_to_high_roughness,stable_low_roughness,6,late,60,1.665242406449141,1.7486306857487033
low_to_high_roughness,stable_low_roughness,6,mid,48,0.10286189693855718,0.15915309064977146
low_to_high_roughness,stable_low_roughness,12,all_post,148,0.7582446891297213,0.7463903467075681
low_to_high_roughness,stable_low_roughness,12,early,48,0.23642364095787735,0.24378726482588453
low_to_high_roughness,stable_low_roughness,12,late,52,2.28443251973204,2.248381227404398
low_to_high_roughness,stable_low_roughness,12,mid,48,-0.373304412517613,-0.3781633588323136
high_to_low_roughness,stable_high_roughness,1,all_post,160,-0.15945265526713825,-0.056611183865616733
high_to_low_roughness,stable_high_roughness,1,early,48,-0.024315875339223122,-0.029431830118679655
high_to_low_roughness,stable_high_roughness,1,late,64,-0.3547060743201287,-0.11024863962138184
high_to_low_roughness,stable_high_roughness,1,mid,48,-0.03425154312439963,-0.012273929938200286
high_to_low_roughness,stable_high_roughness,3,all_post,160,-0.37965946480575674,-0.014306895518851764
high_to_low_roughness,stable_high_roughness,3,early,48,-0.11833010401754751,-0.024032687802704112
high_to_low_roughness,stable_high_roughness,3,late,64,-0.8412477565140308,-0.02992178528996249
high_to_low_roughness,stable_high_roughness,3,mid,48,-0.0255377699829336,0.01623874979314821
high_to_low_roughness,stable_high_roughness,6,all_post,156,-0.3103717978278392,-0.00032771999555162386
high_to_low_roughness,stable_high_roughness,6,early,48,0.0766794497555138,0.011936147039909676
high_to_low_roughness,stable_high_roughness,6,late,60,-0.8541098215053229,-0.02125336773157818
high_to_low_roughness,stable_high_roughness,6,mid,48,-0.01775051581433741,0.013565472639020276
high_to_low_roughness,stable_high_roughness,12,all_post,148,-0.5268846981095026,0.08226535145490295
high_to_low_roughness,stable_high_roughness,12,early,48,-0.20100368362009843,0.16295191058033792
high_to_low_roughness,stable_high_roughness,12,late,52,-1.4525735194879608,-0.021805999998843858
high_to_low_roughness,stable_high_roughness,12,mid,48,0.15006384389442282,0.11432275640436036
