direction,matched_control,horizon,seed,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,1,0,-0.10343227531417072,-0.049573889784972854
high_to_low_roughness,stable_high_roughness,1,1,0.00730833369927972,5.844129088934322e-05
high_to_low_roughness,stable_high_roughness,1,2,-0.39108257887912845,-0.05184478127185775
high_to_low_roughness,stable_high_roughness,1,3,-0.1506041005745336,-0.12508450569652566
high_to_low_roughness,stable_high_roughness,3,0,-0.0014634628983173422,0.02182021486725847
high_to_low_roughness,stable_high_roughness,3,1,0.04477563223325094,0.0390288482972307
high_to_low_roughness,stable_high_roughness,3,2,-0.9287448725040482,-0.05650026740988846
high_to_low_roughness,stable_high_roughness,3,3,-0.6332051560539121,-0.06157637783000778
high_to_low_roughness,stable_high_roughness,6,0,0.021873611839160572,0.05912389750316812
high_to_low_roughness,stable_high_roughness,6,1,0.05056854915991368,0.04414586948796276
high_to_low_roughness,stable_high_roughness,6,2,-1.3236939998317692,-0.10858515436433806
high_to_low_roughness,stable_high_roughness,6,3,0.009764647521338123,0.004004507391000701
high_to_low_roughness,stable_high_roughness,12,0,0.036283302635054124,0.04409511737972093
high_to_low_roughness,stable_high_roughness,12,1,0.2543772216582627,0.24854551300309136
high_to_low_roughness,stable_high_roughness,12,2,-1.0666181890981583,-0.09097482616214732
high_to_low_roughness,stable_high_roughness,12,3,-1.3315811276331688,0.12739560159894686
low_to_high_roughness,stable_low_roughness,1,0,0.30040873902225557,0.3263031418462664
low_to_high_roughness,stable_low_roughness,1,1,0.0031696221145677992,0.012291710264108573
low_to_high_roughness,stable_low_roughness,1,2,1.738779538736312,0.06148972641360757
low_to_high_roughness,stable_low_roughness,1,3,1.0528346078336512,1.4957807183952783
low_to_high_roughness,stable_low_roughness,3,0,0.05345879220771142,0.053488634649487186
low_to_high_roughness,stable_low_roughness,3,1,-0.014697345373550257,0.03688096881043906
low_to_high_roughness,stable_low_roughness,3,2,1.7372883158682668,1.7367530342790398
low_to_high_roughness,stable_low_roughness,3,3,0.8438860709009337,1.0997701204635117
low_to_high_roughness,stable_low_roughness,6,0,0.018864245170097202,0.11141280494459775
low_to_high_roughness,stable_low_roughness,6,1,0.006433999975811231,0.05111071260742804
low_to_high_roughness,stable_low_roughness,6,2,1.9955684613967186,1.9955564544868496
low_to_high_roughness,stable_low_roughness,6,3,0.9093487180840065,1.0231313813491536
low_to_high_roughness,stable_low_roughness,12,0,0.16087749719235372,-0.07145445112439527
low_to_high_roughness,stable_low_roughness,12,1,-0.521961787897989,-0.4703195299836046
low_to_high_roughness,stable_low_roughness,12,2,2.2349183143154208,2.234305785232727
low_to_high_roughness,stable_low_roughness,12,3,1.1591447329091005,1.2930295827055458
