transition,horizon,period,n_blocks,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_relative_rmsfe_vs_no_change,frozen_local_relative_rmsfe_vs_no_change,frozen_all_pre_relative_rmsfe_vs_no_change,mean_adaptive_advantage_vs_frozen_local,mean_adaptive_advantage_vs_frozen_all_pre
high_to_low_roughness,1,all_post,160,0.35208738853518085,0.3268059053260651,0.31744080662904894,0.5370441617529498,1.0379592101038169,1.0531587918561858,0.8096927205145131,0.7800814450439989,0.7688230177402164,-0.025281483209115673,-0.03464658190613195
high_to_low_roughness,1,early,48,0.24835207190242445,0.24572566796221715,0.2472151702544162,0.5295194403602485,1.0053299747481548,1.0022967796397484,0.6848460247530151,0.6812151651248397,0.6832766887659428,-0.0026264039402072617,-0.0011369016480082272
high_to_low_roughness,1,late,64,0.41557715744652945,0.39039261788663926,0.357905372161769,0.6113700466714903,1.031751325965692,1.0775606547204755,0.8244679077732793,0.7990955640416542,0.7651243613633522,-0.0251845395598902,-0.05767178528476041
high_to_low_roughness,1,mid,48,0.37116967995280586,0.3231038592758144,0.33371368896005477,0.4454677032542635,1.0718035063853157,1.0546278489334615,0.9128052616230355,0.8516535504735325,0.8655235707516635,-0.04806582067699139,-0.037455990992751036
high_to_low_roughness,3,all_post,160,0.3183197905158894,0.4206305287502697,0.30110678381913,0.6169148169046087,0.8699242255382134,1.0281856779899958,0.7183220857574825,0.8257294884655774,0.6986307056539954,0.10231073823438028,-0.01721300669675945
high_to_low_roughness,3,early,48,0.3402194014189232,0.47721091462518456,0.30265688961778325,0.6647390168407534,0.8443535895116244,1.0602401729350632,0.7154082644751107,0.8472851579738105,0.6747605709889729,0.13699151320626124,-0.037562511801139904
high_to_low_roughness,3,late,64,0.3232317657241178,0.44604412493339246,0.31125427101313347,0.6423778696470088,0.8512715232502959,1.0190590673123248,0.7093518928160567,0.8332851193090938,0.6960851589171446,0.12281235920927464,-0.011977494710984374
high_to_low_roughness,3,mid,48,0.28987087933521777,0.33016534796452457,0.28602669509513867,0.5351398799785972,0.9369934364472764,1.0066975460179652,0.7359844448188119,0.7854744934066835,0.7310879496329653,0.0402944686293068,-0.003844184240079103
high_to_low_roughness,6,all_post,156,0.3585205951407371,0.38468778036261536,0.3203652816207769,0.96217802814279,0.9653901398446533,1.0578749463802697,0.6104208182060328,0.6323047988704953,0.5770254984246573,0.026167185221878164,-0.038155313519960245
high_to_low_roughness,6,early,48,0.42665468266831813,0.48745290542401465,0.3311849552608184,0.9672620249828746,0.9355606061686395,1.135018547155901,0.6641500191021372,0.7098952379172974,0.585144639941212,0.06079822275569655,-0.09546972740749972
high_to_low_roughness,6,late,60,0.3237020860896609,0.3679637144280678,0.32156447262411736,1.0685667161827992,0.937929621765615,1.0033182657553195,0.5503917655929128,0.5868156339457777,0.548571459703832,0.04426162833840688,-0.002137613465543573
high_to_low_roughness,6,mid,48,0.3339096439270013,0.30282773771940014,0.3080466192265597,0.8241081712526936,1.0500661412749492,1.0411331093653446,0.6365351211601903,0.6061857402499754,0.6113868778490873,-0.031081906207601113,-0.025863024700441616
high_to_low_roughness,12,all_post,148,0.4675855561742196,0.6719474205738415,0.38395628106450735,2.210816719074617,0.8341860022474564,1.103544003879569,0.45989021948694064,0.5513041674733316,0.4167393578055533,0.204361864399622,-0.08362927510971221
high_to_low_roughness,12,early,48,0.634714486240058,0.8014750878077775,0.4411815334522089,2.0128891479450712,0.8899061156118174,1.1994455631205403,0.5615381617856945,0.6310083186692482,0.46816477466869566,0.16676060156771952,-0.1935329527878491
high_to_low_roughness,12,late,52,0.407025407845646,0.7529642448726178,0.38835687892270493,2.692048170365562,0.7352306156193182,1.023753168690512,0.38883857844092845,0.5288661410180695,0.37981672763786795,0.3459388370269719,-0.018668528922941005
high_to_low_roughness,12,mid,48,0.3660634534643359,0.45465152701623124,0.32196371433042503,1.8874102179723071,0.8973024617559732,1.0662884912899466,0.44039769306052806,0.4908018330839004,0.41301926885448725,0.08858807355189542,-0.04409973913391082
low_to_high_roughness,1,all_post,160,0.36557632254758465,1.2129197308328774,0.8997777071114961,0.5565589805095871,0.5490008280265036,0.6374137321308856,0.8104634472662865,1.476251775757177,1.2714872717863994,0.8473434082852928,0.5342013845639113
low_to_high_roughness,1,early,48,0.2488622482389269,0.4927567638428099,0.627202785238692,0.4606476324641617,0.7106621949974324,0.6299056749174368,0.7350131150930405,1.03426511254858,1.1668621896276459,0.24389451560388306,0.37834053699976516
low_to_high_roughness,1,late,64,0.4250111221594588,2.243552132554333,1.3567439084831219,0.6933493532877424,0.43524327037688704,0.5596947168461955,0.7829320835242515,1.7988378840327455,1.3988555903046012,1.8185410103948745,0.931732786323663
low_to_high_roughness,1,mid,48,0.4030439973737434,0.5589061621943372,0.5630643604887987,0.47008316485080553,0.849193731707514,0.8460522974136668,0.9259528649022923,1.0903906026725316,1.0944392772561187,0.15586216482059376,0.1600203631150552
low_to_high_roughness,3,all_post,160,0.3883197458875983,1.100226741972234,1.1862535749718048,0.6126478346521955,0.5940919108546254,0.5721448199007275,0.7961397094118704,1.3400951853840108,1.3915003364882481,0.7119069960846358,0.7979338290842067
low_to_high_roughness,3,early,48,0.35872617200942297,0.5645150996963647,0.6384687305663239,0.5268205726243497,0.7971567907942387,0.749569169771827,0.8251828029233632,1.0351574651972808,1.1008761248472285,0.2057889276869418,0.27974255855690094
low_to_high_roughness,3,late,64,0.4053528036543381,1.9584003923714652,2.052791391604906,0.7797813983158002,0.4549522810621399,0.4443694374645204,0.7209915173391741,1.5847629462499544,1.6225047371686987,1.553047588717127,1.6474385879505677
low_to_high_roughness,3,mid,48,0.3952025760767874,0.49170685038246237,0.5786546638664856,0.4756303451285686,0.8965133354388338,0.8264187357118752,0.9115386882190201,1.016759764954117,1.1029985754543945,0.09650427430567493,0.18345208778969815
low_to_high_roughness,6,all_post,156,0.4816168051778826,1.2575572236623402,1.326442721488827,0.9200050248133042,0.6188521984738938,0.6025686957329943,0.7235286229126263,1.1691460815633643,1.2007404766231515,0.7759404184844575,0.8448259163109446
low_to_high_roughness,6,early,48,0.4262355917833555,0.6326656705193926,0.6791194443840229,0.5896831791952214,0.8208007054413272,0.7922308920685702,0.8501890085223831,1.0358044320457234,1.0731581121539961,0.20643007873603691,0.2528838526006673
low_to_high_roughness,6,late,60,0.49912326071839164,2.278406241952488,2.3721607075236166,1.4251070532670231,0.46804576936426906,0.45870328562122525,0.5918070850031627,1.2644213958113424,1.290174070154466,1.7792829812340967,1.8730374468052249
low_to_high_roughness,6,mid,48,0.5151149491467732,0.6063875039426024,0.6666185160501448,0.6189493348642381,0.9216731912654074,0.8790496201759712,0.9122723804846324,0.9898002775063163,1.0377939533174596,0.09127255479582926,0.15150356690337155
low_to_high_roughness,12,all_post,148,0.9261121158131299,1.7287634086372892,1.725195851963506,1.9323090168495087,0.7319206531366029,0.7326770367911971,0.6922986627247611,0.9458657297863585,0.9448892594706182,0.8026512928241594,0.7990837361503764
low_to_high_roughness,12,early,48,0.6330490705444655,0.8834211958630194,0.9172166467007082,0.777489143423975,0.8465152380617367,0.8307736696281172,0.9023427245538876,1.0659497714654007,1.0861474761926522,0.250372125318554,0.2841675761562428
low_to_high_roughness,12,late,52,0.9027860462868765,3.3332923384714226,3.298835258174946,3.7467462918115544,0.5204220833036057,0.5231329858717718,0.4908686270443816,0.9432125245884634,0.9383247478198617,2.430506292184546,2.396049211888069
low_to_high_roughness,12,mid,48,1.2444450697352358,0.8358659474245816,0.8283990338305789,1.1214885090661602,1.2201677704806178,1.225654527661422,1.0533930572797217,0.8633182114495578,0.8594534866930412,-0.40857912231065424,-0.416046035904657
stable_high_roughness,1,all_post,160,0.37804275131077525,0.5122139233687979,0.40000735327026005,0.6069041936318214,0.8591020746213224,0.972157139834179,0.7892423633636667,0.9186828744553449,0.8118464917084166,0.1341711720580226,0.02196460195948478
stable_high_roughness,1,early,48,0.2682466566135112,0.2899361280125271,0.29654158508418266,0.5147629941881253,0.9618691402875329,0.9510960029566077,0.7218774901136243,0.7504944902357846,0.7589953988551867,0.02168947139901586,0.028294928470671433
stable_high_roughness,1,late,64,0.44148254830906186,0.7710040830693003,0.4940594026456833,0.7891220418806995,0.7567081846205215,0.9452946193470418,0.7479708678467649,0.988453518871164,0.7912568764682301,0.3295215347602385,0.052576854336621445
stable_high_roughness,1,mid,48,0.4032524500103238,0.389438172457732,0.37807038895577305,0.4560882620770133,1.0175816062303538,1.0327665786652915,0.9402948547277824,0.9240485961721722,0.9104621258590532,-0.013814277552591759,-0.02518206105455074
stable_high_roughness,3,all_post,160,0.3955442733013691,0.877514476341506,0.3926381621234615,0.7918940834745444,0.6713831010624369,1.0036939272228282,0.7067470452549479,1.0526732712464,0.7041459812459783,0.481970203040137,-0.002906111177907687
stable_high_roughness,3,early,48,0.3666932801635845,0.6220148973873934,0.3531634561651487,0.6590924204115555,0.7678052591960327,1.018975158551019,0.7458960667695771,0.9714651701534363,0.7320061343107128,0.2553216172238088,-0.013529823998435794
stable_high_roughness,3,late,64,0.4383698503253228,1.4024299660486284,0.4563141409043009,1.0354788063840217,0.5590874545045098,0.9801405901113426,0.650653441664406,1.1637775743708045,0.6638368497630454,0.9640601157233056,0.017944290578978114
stable_high_roughness,3,mid,48,0.3672944970738821,0.43312673568612253,0.34721156304065476,0.5999161159915634,0.9208729470391539,1.0285137945758622,0.782459641641318,0.8496933742674593,0.7607672797076953,0.0658322386122404,-0.020082934033227317
stable_high_roughness,6,all_post,156,0.5144571153834995,0.850996098433217,0.4766295218590909,1.4979337779799278,0.7775186313605976,1.0389248155695243,0.5860413796364411,0.7537329087676187,0.5640844947140676,0.33653898304971736,-0.03782759352440863
stable_high_roughness,6,early,48,0.5031469415412012,0.48726571454138395,0.3957410670937918,0.9648595687657688,1.0161656062870534,1.1275657050245533,0.7221299615017154,0.7106420026754214,0.6404327111793372,-0.01588122699981726,-0.1074058744474094
stable_high_roughness,6,late,60,0.5691632400759176,1.4675346899196475,0.588278994341952,2.2821648551828337,0.6227650526299184,0.9836186414290593,0.49939583385265945,0.8019008641280136,0.507712860267784,0.8983714498437299,0.0191157542660346
stable_high_roughness,6,mid,48,0.45738463336027557,0.4440532429670118,0.41795613602081366,1.0507191406904548,1.0149000216260138,1.0461053714198856,0.6597774422062087,0.6500910711866492,0.6306988380249768,-0.013331390393263693,-0.03942849733946189
stable_high_roughness,12,all_post,148,1.0214323865334614,1.752678949042586,0.8555377599688462,3.990610825836619,0.7634025858754605,1.0926604429280562,0.5059238157304388,0.6627221666406221,0.46302016239801796,0.7312465625091246,-0.16589462656461518
stable_high_roughness,12,early,48,0.90721157073546,1.2749758559232778,0.5507267073672729,2.0632344179647113,0.843535394145938,1.2834714760398824,0.6631014893841136,0.7860980036949012,0.5166468454991271,0.36776428518781795,-0.356484863368187
stable_high_roughness,12,late,52,1.3550324062890944,3.153544762804027,1.3581698773649973,6.899763552963233,0.6555039920137037,0.9988442958533258,0.44315712555301084,0.6760555709075626,0.4436698766692319,1.7985123565149326,0.0031374710759028393
stable_high_roughness,12,mid,48,0.7742531809295268,0.7127774105869994,0.6158306853912556,2.766405112654697,1.0422323168829521,1.1212716370203737,0.5290340312521512,0.5075970325256806,0.4718161182226877,-0.061475770342527374,-0.15842249553827117
stable_low_roughness,1,all_post,160,0.33322307147969454,0.4067683528382906,0.3934581318137906,0.4972692102726768,0.9050945570002511,0.9202763658795702,0.8186000122234667,0.9044359021852338,0.8895154136019514,0.07354528135859607,0.06023506033409611
stable_low_roughness,1,early,48,0.21913321910064898,0.23818544574608091,0.2673377868303434,0.47294424606792057,0.9591720146615067,0.9053654873545661,0.6806896329455975,0.7096637751527956,0.7518396078190913,0.019052226645431918,0.04820456772969445
stable_low_roughness,1,late,64,0.40548178069803437,0.5854993160426596,0.5269130663405038,0.5403924481706098,0.8321899687524132,0.8772354797440631,0.8662256446713145,1.0408989259626935,0.9874493960550241,0.18001753534462528,0.12143128564246954
stable_low_roughness,1,mid,48,0.35096797823428694,0.3370433089913416,0.3416385640949535,0.4640965239468558,1.0204480309546726,1.0135619608433395,0.8696201398271317,0.8521944415077807,0.857984191813552,-0.01392466924294536,-0.009329414139333444
stable_low_roughness,3,all_post,160,0.301730662148498,0.3586536998322933,0.3679413016820852,0.4865275513484857,0.917216936131811,0.9055667180777365,0.7875098662712902,0.8585862681433512,0.8696320774055744,0.05692303768379536,0.06621063953358726
stable_low_roughness,3,early,48,0.2866118780012097,0.32705911612917365,0.3368128026408484,0.5192494755500192,0.9361252574620793,0.9224711589307286,0.7429490969001467,0.7936428282197504,0.8053900544287229,0.04044723812796389,0.050200924639638704
stable_low_roughness,3,late,64,0.3280646928226212,0.4331297543018783,0.44348659561501086,0.5019067247440211,0.8703035137987851,0.8600812847717846,0.8084780608160842,0.928961044046761,0.9400019220632234,0.10506506147925704,0.11542190279238965
stable_low_roughness,3,mid,48,0.28173740539695513,0.2909468775759663,0.29834274214608775,0.4333000626195716,0.9840460105624791,0.9717723029141413,0.806357963723891,0.8194311597919879,0.8297807637712997,0.009209472179011215,0.01660533674913261
stable_low_roughness,6,all_post,156,0.32669134604792344,0.37007790837572246,0.3762144240118609,0.5405766215829587,0.939555057664103,0.9318609095620474,0.777392211581101,0.827404637162864,0.8342363153171184,0.04338656232779902,0.049523077963937526
stable_low_roughness,6,early,48,0.32805407470550696,0.3380990259323871,0.34114515051405164,0.5508741577683676,0.9850329505829052,0.9806253528513283,0.7716964785391454,0.7834219942413954,0.7869432258663432,0.010044951226880167,0.013091075808544678
stable_low_roughness,6,late,60,0.3356101400440196,0.4496507148289752,0.4600169011005413,0.5884712758910255,0.863932661194406,0.8541431120152259,0.7551876905754296,0.8741279552174424,0.8841465557143866,0.11404057478495568,0.12440676105652176
